Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
29	0	2	4.019005e-01	0	2.302190e+00	4.559233e+02	3.129883e+00	5.239821e+01	1	0
30	3	3	7.180549e-01	-8.090410e-02	4.264634e+00	4.159183e+02	8.868974e+00	8.095732e+01	1	1
30	0	3	5.184910e-01	0	6.607562e+00	1.314040e+03	1.640977e+01	7.905750e+01	1	0
31	3	4	8.847814e-01	3.042083e-02	2.511263e+01	2.411858e+03	3.808567e+01	6.243612e+01	1	1
31	0	4	4.516547e-01	0	5.312133e+00	1.038693e+03	2.256935e+01	5.472493e+01	1	0
32	3	1	6.675388e-01	-9.145686e-02	5.294251e+00	5.096731e+02	1.230129e+01	8.852517e+01	1	1
32	0	1	5.506125e-01	0	6.558193e+00	1.295152e+03	1.938267e+01	8.657782e+01	1	0
33	3	2	1.200865e+00	-8.944679e-02	5.401359e+00	5.116568e+02	1.046876e+01	8.085012e+01	1	1
33	0	2	6.018585e-01	0	3.635434e+00	7.227391e+02	6.451860e+00	4.930817e+01	1	0
34	3	4	1.767977e+00	1.989266e-02	1.293915e+01	1.402711e+03	3.513607e+01	4.086035e+01	1	1
34	0	4	6.347468e-01	0	3.809321e+00	7.555388e+02	1.096377e+01	8.828591e+01	1	0
35	3	1	8.175490e-01	-2.121074e-01	8.800276e+00	8.339408e+02	2.336848e+01	9.624457e+01	1	1
35	0	1	5.187302e-01	0	9.502695e+00	1.863139e+03	1.672942e+01	7.815132e+01	1	0
36	3	3	1.268872e+00	5.065781e-02	1.600633e+01	1.587315e+03	3.595699e+01	6.676413e+01	1	1
36	0	3	5.024970e-01	0	7.971066e+00	1.569757e+03	1.866417e+01	6.901629e+01	1	0
37	3	4	1.400998e+00	1.458230e-02	1.261764e+01	1.267622e+03	2.254889e+01	7.461342e+01	1	1
37	0	4	6.855583e-01	0	4.492756e+00	8.807384e+02	1.677149e+01	7.572737e+01	1	0
38	3	2	1.069484e+00	-6.685958e-02	4.724141e+00	4.482980e+02	7.314391e+00	6.200806e+01	1	1
38	0	2	6.852777e-01	0	1.120919e+00	2.221401e+02	3.501796e+00	6.847955e+01	1	0
39	3	3	1.030838e+02	6.853319e-01	3.787457e+01	2.857685e+03	6.168281e+01	100	0	1
39	0	3	5.015193e-01	0	2.280372e+01	4.503401e+03	3.051329e+01	4.822179e+01	1	0
