Event Number	Event Type	Onset
1	cue	0.0319404610
2	trial	0.7991862489
3	return	1.9308566480
4	trial	2.6323362460
5	return	3.4486026190
6	trial	4.1832032340
7	return	5.0491714249
8	trial	5.7667497130
9	return	6.5159532090
10	trial	7.2326832410
11	return	7.9495660140
12	trial	8.6664049199
13	return	9.7003946409
14	trial	10.4170339700
15	return	11.1342862020
16	trial	11.8506015270
17	return	12.5677270619
18	trial	13.2844620360
19	return	14.0014865010
20	trial	14.7180148909
21	return	15.4341002799
22	trial	16.1517177609
23	return	16.8842818990
24	trial	17.6020671449
25	return	18.9186079589
26	trial	19.6352790269
27	return	20.3515432139
28	trial	21.0685212229
29	return	21.7857690100
30	trial	22.5030015450
31	return	23.2181863959
32	trial	23.9360816609
33	return	24.7696173859
34	rest	25.5191401499
35	cue	30.5431087760
36	trial	31.0629487709
37	return	32.0373629270
38	trial	32.7534485389
39	return	33.6038732270
40	trial	34.2374861409
41	return	35.5708457869
42	trial	36.2040283440
43	return	37.3044614659
44	trial	38.0212283250
45	return	38.7374291400
46	trial	39.3720404489
47	return	40.0883913389
48	trial	40.9215478690
49	return	41.6389563850
50	trial	42.2721204030
51	return	42.9882261279
52	trial	43.6222407840
53	return	44.3379822579
54	trial	44.9893085579
55	return	45.7059472819
56	trial	46.3398827550
57	return	47.0563179080
58	trial	47.6895724440
59	return	48.4058964549
60	trial	49.1402031910
61	return	50.3563103770
62	trial	51.0731058529
63	return	52.2901501970
64	trial	53.0065181899
65	return	54.4906487180
66	trial	55.2065636959
67	return	56.3911065550
68	rest	57.0241210900
69	cue	62.0481053320
70	trial	62.5706390530
71	return	64.6752744180
72	trial	65.3922881350
73	return	66.3253189130
74	trial	67.0424766850
75	return	67.9756858440
76	trial	68.6929012199
77	return	69.4097586400
78	trial	70.1266325520
79	return	71.1430824300
80	trial	71.8598445359
81	return	72.5935278110
82	trial	73.3094348389
83	return	74.0265407170
84	trial	74.7433010429
85	return	75.4604327610
86	trial	76.1771608939
87	return	77.1272530269
88	trial	77.8440737720
89	return	78.5600003550
90	trial	79.2772014600
91	return	79.9946547250
92	trial	80.7111386830
93	return	81.4275456810
94	trial	82.1445289740
95	return	83.0276601859
96	trial	83.7451864020
97	return	84.8283444140
98	trial	85.5454921160
99	return	86.2620389969
100	trial	86.9785473599
101	return	88.4289076390
102	rest	89.1460905219
103	cue	94.1753940730
104	trial	94.7084943659
105	return	95.5803515710
106	trial	96.2297218470
107	return	96.9631811030
108	trial	97.5971472820
109	return	98.9805972619
110	trial	99.6969414840
111	return	100.6139503290
112	trial	101.3303842109
113	return	102.0484447500
114	trial	102.6811070109
115	return	103.9310437030
116	trial	104.5980264130
117	return	105.8982945960
118	trial	106.6153065939
119	return	107.8986036530
120	trial	108.5313763850
121	return	109.7992172670
122	trial	110.4319453000
123	return	111.7152280459
124	trial	112.4323872660
125	return	113.6990671960
126	trial	114.4166101910
127	return	115.7171032870
128	trial	116.4329422730
129	return	117.6672041010
130	trial	118.3834311140
131	return	119.6342359689
132	trial	120.3499128390
133	return	121.4838923509
134	trial	122.1174696019
135	return	123.4173076820
136	rest	124.1341612330
