::Queue started at 24-Feb-2013 10:22:29, with machine clock reading 97272.9091.::
space	194549.8024
::Onset of trial expected: [N/A SELF PACED]  recorded: 60.8675 ::
trial	60.8675
::Onset of return expected: [N/A SELF PACED]  recorded: 61.6189 ::
return	61.6189
::Onset of trial expected: [N/A SELF PACED]  recorded: 62.3537 ::
trial	62.3537
::Onset of return expected: [N/A SELF PACED]  recorded: 63.1051 ::
return	63.1051
::Onset of trial expected: [N/A SELF PACED]  recorded: 63.8399 ::
trial	63.8399
::Onset of return expected: [N/A SELF PACED]  recorded: 64.6415 ::
return	64.6415
::Onset of trial expected: [N/A SELF PACED]  recorded: 65.3928 ::
trial	65.3928
::Onset of return expected: [N/A SELF PACED]  recorded: 66.1945 ::
return	66.1945
::Onset of rest expected: [N/A SELF PACED]  recorded: 66.946 ::
rest	66.9460
::Onset of cue expected: [N/A SELF PACED]  recorded: 78.9692 ::
cue	78.9692
::Onset of trial expected: [N/A SELF PACED]  recorded: 79.4869 ::
trial	79.4869
::Onset of return expected: [N/A SELF PACED]  recorded: 80.7561 ::
return	80.7561
::Onset of trial expected: [N/A SELF PACED]  recorded: 81.5076 ::
trial	81.5076
::Onset of return expected: [N/A SELF PACED]  recorded: 82.259 ::
return	82.2590
::Onset of trial expected: [N/A SELF PACED]  recorded: 82.9938 ::
trial	82.9938
::Onset of return expected: [N/A SELF PACED]  recorded: 83.9457 ::
return	83.9457
::Onset of trial expected: [N/A SELF PACED]  recorded: 84.697 ::
trial	84.6970
::Onset of return expected: [N/A SELF PACED]  recorded: 85.4151 ::
return	85.4151
::Onset of trial expected: [N/A SELF PACED]  recorded: 86.1666 ::
trial	86.1666
::Onset of return expected: [N/A SELF PACED]  recorded: 86.9848 ::
return	86.9848
::Onset of trial expected: [N/A SELF PACED]  recorded: 87.7363 ::
trial	87.7363
::Onset of return expected: [N/A SELF PACED]  recorded: 88.5044 ::
return	88.5044
::Onset of trial expected: [N/A SELF PACED]  recorded: 89.256 ::
trial	89.2560
::Onset of return expected: [N/A SELF PACED]  recorded: 89.974 ::
return	89.9740
::Onset of trial expected: [N/A SELF PACED]  recorded: 90.7255 ::
trial	90.7255
::Onset of return expected: [N/A SELF PACED]  recorded: 91.477 ::
return	91.4770
::Onset of trial expected: [N/A SELF PACED]  recorded: 92.2285 ::
trial	92.2285
::Onset of return expected: [N/A SELF PACED]  recorded: 93.0633 ::
return	93.0633
::Onset of trial expected: [N/A SELF PACED]  recorded: 93.8148 ::
trial	93.8148
::Onset of return expected: [N/A SELF PACED]  recorded: 94.5496 ::
return	94.5496
::Onset of trial expected: [N/A SELF PACED]  recorded: 95.3011 ::
trial	95.3011
::Onset of return expected: [N/A SELF PACED]  recorded: 96.0525 ::
return	96.0525
::Onset of trial expected: [N/A SELF PACED]  recorded: 96.7873 ::
trial	96.7873
::Onset of return expected: [N/A SELF PACED]  recorded: 97.7057 ::
return	97.7057
::Onset of trial expected: [N/A SELF PACED]  recorded: 98.4572 ::
trial	98.4572
::Onset of return expected: [N/A SELF PACED]  recorded: 99.2252 ::
return	99.2252
::Onset of trial expected: [N/A SELF PACED]  recorded: 99.9767 ::
trial	99.9767
::Onset of return expected: [N/A SELF PACED]  recorded: 100.7783 ::
return	100.7783
::Onset of trial expected: [N/A SELF PACED]  recorded: 101.5299 ::
trial	101.5299
::Onset of return expected: [N/A SELF PACED]  recorded: 102.2646 ::
return	102.2646
::Onset of trial expected: [N/A SELF PACED]  recorded: 103.0159 ::
trial	103.0159
::Onset of return expected: [N/A SELF PACED]  recorded: 103.7674 ::
return	103.7674
::Onset of trial expected: [N/A SELF PACED]  recorded: 104.5022 ::
trial	104.5022
::Onset of return expected: [N/A SELF PACED]  recorded: 105.2538 ::
return	105.2538
::Onset of trial expected: [N/A SELF PACED]  recorded: 106.0052 ::
trial	106.0052
::Onset of return expected: [N/A SELF PACED]  recorded: 106.7401 ::
return	106.7401
::Onset of trial expected: [N/A SELF PACED]  recorded: 107.4915 ::
trial	107.4915
::Onset of return expected: [N/A SELF PACED]  recorded: 108.2428 ::
return	108.2428
::Onset of trial expected: [N/A SELF PACED]  recorded: 108.9776 ::
trial	108.9776
::Onset of return expected: [N/A SELF PACED]  recorded: 109.8126 ::
return	109.8126
::Onset of trial expected: [N/A SELF PACED]  recorded: 110.5641 ::
trial	110.5641
::Onset of return expected: [N/A SELF PACED]  recorded: 111.3488 ::
return	111.3488
::Onset of trial expected: [N/A SELF PACED]  recorded: 112.1004 ::
trial	112.1004
::Onset of return expected: [N/A SELF PACED]  recorded: 113.0689 ::
return	113.0689
::Onset of trial expected: [N/A SELF PACED]  recorded: 113.8205 ::
trial	113.8205
::Onset of return expected: [N/A SELF PACED]  recorded: 114.8223 ::
return	114.8223
::Onset of trial expected: [N/A SELF PACED]  recorded: 115.5737 ::
trial	115.5737
::Onset of return expected: [N/A SELF PACED]  recorded: 116.3921 ::
return	116.3921
::Onset of trial expected: [N/A SELF PACED]  recorded: 117.1435 ::
trial	117.1435
::Onset of return expected: [N/A SELF PACED]  recorded: 117.9283 ::
return	117.9283
::Onset of trial expected: [N/A SELF PACED]  recorded: 118.6798 ::
trial	118.6798
::Onset of return expected: [N/A SELF PACED]  recorded: 119.4146 ::
return	119.4146
