Trial	Type	Onset	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
29	0	61.6401	2	0.4515	0.000000	1.588398e+01	3.231670e+03	2.559973e+01	53.1748	1	0
30	3	62.2735	3	0.8021	0.262356	1.317095e+01	1.380709e+03	2.566671e+01	100.0000	0	1
30	0	63.2402	3	0.6510	0.000000	1.793620e+01	3.535105e+03	3.025206e+01	77.2557	1	0
31	3	64.0405	4	1.3682	0.067943	1.282025e+01	1.428407e+03	2.562407e+01	69.3525	1	1
31	0	65.5739	4	0.6351	0.000000	1.343526e+01	3.359351e+03	3.767465e+01	95.1023	1	0
32	3	66.3577	1	1.0849	0.189991	1.346663e+01	1.288793e+03	2.493580e+01	47.2556	0	1
32	0	67.6079	1	0.3851	0.000000	1.497961e+01	3.262028e+03	2.013801e+01	52.4634	1	0
33	1	73.7923	1	1.6178	-0.087081	7.198768e+00	6.896420e+02	1.541973e+01	74.7674	1	1
33	0	75.5592	1	0.4173	0.000000	4.479338e+00	8.041385e+02	5.587940e+00	55.0379	1	0
34	1	76.2755	4	0.8015	-0.026172	2.584064e-01	2.510385e+01	2.543160e+00	100.0000	1	1
34	0	77.2427	4	0.3184	0.000000	3.400183e+00	6.838194e+02	4.828904e+00	54.6154	1	0
35	1	77.9589	2	0.9346	0.000000	1.254395e-14	1.235002e-12	2.626799e-14	100.0000	1	1
35	0	79.0422	2	0.3348	0.000000	2.207922e-14	4.527320e-12	2.791923e-14	54.5906	1	0
36	1	79.7592	3	0.7684	-0.124670	8.072964e+00	7.967984e+02	1.383513e+01	92.7698	1	1
36	0	80.6930	3	0.4009	0.000000	6.969065e+00	1.350944e+03	1.088108e+01	54.1737	1	0
37	1	81.4097	4	1.1682	-0.041860	1.207921e+00	1.209737e+02	4.066884e+00	100.0000	1	1
37	0	82.7262	4	0.3019	0.000000	6.300321e+00	1.312445e+03	9.629264e+00	54.3159	1	0
38	1	83.4426	3	0.6020	-0.050623	1.624684e+00	1.547982e+02	5.079823e+00	93.5683	1	1
38	0	84.2097	3	0.4024	0.000000	2.984697e+00	6.132802e+02	4.321584e+00	54.0651	1	0
39	1	84.9271	1	1.1852	0.000000	3.069826e-15	2.983318e-13	5.888370e-15	100.0000	1	1
39	0	86.2771	1	0.4685	0.000000	3.577010e+00	7.935222e+02	1.065822e+01	86.3279	1	0
40	1	86.9936	2	0.7355	0.000000	1.326342e-14	1.363199e-12	2.667301e-14	100.0000	1	1
40	0	87.8771	2	0.3688	0.000000	2.223571e-14	4.796995e-12	2.844887e-14	53.8915	1	0
41	1	88.5937	1	1.0518	0.000000	3.107061e-15	3.035313e-13	5.950681e-15	100.0000	1	1
41	0	89.7950	1	0.4509	0.000000	6.630681e+00	1.296086e+03	1.926022e+01	74.7123	1	0
42	1	90.5103	2	0.7191	0.000000	1.304760e-14	1.264672e-12	2.608106e-14	100.0000	1	1
42	0	91.3942	2	0.3347	0.000000	4.276688e-01	8.236004e+01	2.780243e+00	95.1968	1	0
43	1	92.1110	3	0.7013	0.000000	9.248418e-15	8.823099e-13	1.752491e-14	100.0000	1	1
43	0	92.9609	3	0.3854	0.000000	6.230291e+00	1.295517e+03	1.080611e+01	72.6809	1	0
44	1	93.6781	4	0.6852	-0.037316	1.743590e+00	1.671119e+02	3.559164e+00	100.0000	1	1
44	0	94.5123	4	0.3007	0.000000	8.380463e+00	1.892384e+03	1.112595e+01	58.3952	1	0
45	1	95.2283	4	0.8188	-0.025635	8.747184e-01	8.675862e+01	4.070450e+00	0.0000	1	1
45	0	96.2120	4	0.2683	0.000000	3.422106e+00	7.192744e+02	5.580268e+00	72.0924	1	0
46	1	96.9287	2	1.2685	0.085354	3.903454e+00	3.792937e+02	8.362464e+00	98.4008	1	1
46	0	98.3459	2	0.5342	0.000000	6.385397e+00	1.584381e+03	1.145468e+01	89.7236	1	0
47	1	99.0627	3	0.6510	-0.058444	1.377356e+00	1.469724e+02	5.587313e+00	100.0000	1	1
47	0	99.8618	3	0.3350	0.000000	9.009316e+00	1.853897e+03	1.381018e+01	85.6950	1	0
48	1	100.5791	1	0.8681	0.000000	3.123085e-15	3.050967e-13	5.981836e-15	100.0000	1	1
48	0	101.5955	1	0.3682	0.000000	7.366464e+00	1.500461e+03	1.956435e+01	66.5465	1	0
49	3	107.8631	3	1.6030	-0.039225	1.997299e+01	2.091733e+03	3.722944e+01	73.2023	1	1
49	0	109.6307	3	0.6183	0.000000	1.237214e+01	2.645892e+03	3.561271e+01	85.3472	1	0
50	3	110.4138	4	0.7357	0.412123	2.375735e+01	2.299515e+03	4.096479e+01	100.0000	0	1
50	0	111.2974	4	0.8351	0.000000	2.973420e+01	6.497967e+03	4.238997e+01	97.1875	1	0
51	3	112.2809	2	0.4856	0.523599	2.662719e+01	2.235133e+03	4.846380e+01	100.0000	0	1
51	0	112.9976	2	0.3520	0.000000	4.260452e+01	7.797899e+03	5.724070e+01	54.1681	1	0
52	3	113.6312	1	1.1360	0.062081	1.623962e+01	1.850441e+03	3.854207e+01	61.2933	1	1
52	0	114.9310	1	0.3691	0.000000	1.001213e+01	1.875579e+03	1.324880e+01	53.1744	1	0
53	3	115.6474	2	0.6017	0.523599	2.701415e+01	2.315229e+03	4.948141e+01	100.0000	0	1
53	0	116.3980	2	0.4689	0.000000	2.063674e+01	4.683852e+03	3.108478e+01	51.2183	1	0
54	3	117.0323	4	0.6685	0.523599	2.726715e+01	2.787674e+03	5.329746e+01	100.0000	0	1
54	0	117.8656	4	0.3682	0.000000	4.007626e+01	8.934314e+03	6.144477e+01	51.3887	1	0
55	3	118.4988	3	0.7011	0.374322	2.187035e+01	2.328900e+03	3.979409e+01	89.9916	0	1
55	0	119.3484	3	0.9359	0.000000	1.465203e+01	2.676045e+03	2.126795e+01	53.3464	1	0
56	3	120.4489	1	1.3522	0.146690	1.593639e+01	1.894817e+03	3.781274e+01	62.8282	0	1
56	0	121.9659	1	0.4190	0.000000	1.323240e+01	2.747842e+03	1.988523e+01	52.7978	1	0
57	3	122.5998	4	0.6008	0.451559	2.657888e+01	2.360595e+03	4.307325e+01	100.0000	0	1
57	0	123.3662	4	0.5009	0.000000	2.755989e+01	6.458081e+03	4.332725e+01	52.3057	1	0
58	3	124.0157	3	0.5682	0.396023	2.019506e+01	2.202241e+03	3.748819e+01	100.0000	0	1
58	0	124.7331	3	0.4846	0.000000	1.449772e+01	3.038911e+03	2.278172e+01	54.0185	1	0
59	3	125.3835	2	1.3681	-0.026875	1.977645e+01	2.265367e+03	3.596076e+01	80.3061	1	1
59	0	126.9164	2	0.4183	0.000000	7.942909e+00	1.728862e+03	1.143930e+01	54.4637	1	0
60	3	127.6331	1	1.2524	0.194096	1.019350e+01	1.081018e+03	1.894074e+01	100.0000	1	1
60	0	129.0339	1	0.4009	0.000000	7.024000e+00	1.264478e+03	9.573562e+00	54.9986	1	0
61	3	129.7498	3	1.2024	0.117434	1.256849e+01	1.230316e+03	2.734834e+01	48.3903	1	1
61	0	131.1170	3	0.4849	0.000000	1.215067e+01	2.316985e+03	2.441456e+01	90.1237	1	0
62	3	131.8341	1	2.0680	0.047267	1.133459e+01	1.164216e+03	3.110434e+01	58.2035	1	1
62	0	134.0508	1	0.5851	0.000000	6.842800e+00	1.360188e+03	8.594857e+00	80.2090	1	0
63	3	134.7846	4	1.2019	0.159620	9.581244e+00	9.766378e+02	1.540048e+01	96.1869	1	1
63	0	136.1341	4	0.4852	0.000000	8.690411e+00	1.592712e+03	2.116836e+01	97.4668	1	0
64	3	136.8516	2	1.3180	0.114542	1.945918e+01	2.431098e+03	3.606489e+01	73.2724	1	1
64	0	138.3180	2	0.4524	0.000000	7.546469e+00	1.510781e+03	1.445984e+01	100.0000	1	0
