Trial	Type	Onset	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
1	1	0.7487	3	2.6194	-0.002653	5.337537e-01	5.582977e+01	2.542994e+00	93.3987	1	1
1	0	3.6093	3	0.7021	0.000000	6.569798e-01	1.203308e+02	3.558715e+00	62.9526	1	0
2	1	4.4659	4	2.3858	-0.057830	1.398389e+01	1.394940e+03	2.360764e+01	60.3031	1	1
2	0	6.9914	4	0.6354	0.000000	5.239645e+00	9.767419e+02	5.588423e+00	54.5211	1	0
3	1	7.7742	1	3.1007	0.000000	5.600511e-01	6.086199e+01	7.463211e+00	3.5379	1	1
3	0	11.0229	1	0.8022	0.000000	2.096584e-02	3.818984e+00	5.087893e-01	75.5598	1	0
4	1	11.9725	2	2.0352	0.000000	1.508027e-01	1.490720e+01	1.119374e+01	0.0000	1	1
4	0	14.1384	2	0.9522	0.000000	1.001428e-14	1.890366e-12	1.261794e-14	54.5822	1	0
5	1	15.2384	3	2.2852	-0.002674	5.375166e+00	5.591799e+02	1.195695e+01	0.0000	1	1
5	0	17.8039	3	1.2685	0.000000	1.292362e+00	2.426377e+02	8.857575e+00	62.7062	1	0
6	1	19.2038	1	2.6344	0.002667	2.540667e-01	3.044242e+01	2.544031e-01	20.3803	1	1
6	0	21.9858	1	0.7856	0.000000	2.544006e-01	4.536920e+01	2.544023e-01	55.4917	1	0
7	1	22.9188	4	1.7021	-0.068675	2.319732e+00	2.245711e+02	9.663973e+00	0.2627	1	1
7	0	24.7519	4	0.7686	0.000000	4.196039e+00	8.050954e+02	6.094877e+00	53.3397	1	0
8	1	25.6519	2	2.5029	0.000000	5.106001e-15	6.040270e-13	1.174559e-14	100.0000	1	1
8	0	28.2862	2	1.1856	0.000000	2.057582e+00	3.945098e+02	6.816800e+00	80.0957	1	0
9	1	29.6197	3	1.9692	-0.037316	4.042776e+00	4.141931e+02	1.057754e+01	1.4749	1	1
9	0	31.7367	3	1.0855	0.000000	3.701856e+00	7.188892e+02	8.861859e+00	63.2789	1	0
10	1	32.9536	4	2.2025	0.000000	6.877761e+00	6.632831e+02	1.068190e+01	0.2637	1	1
10	0	35.2872	4	0.8523	0.000000	9.282270e-01	1.714319e+02	2.794603e+00	81.5778	1	0
11	1	36.2707	1	2.2690	0.000000	1.958765e-03	1.896008e-01	1.119374e+01	0.0000	1	1
11	0	38.6808	1	0.9182	0.000000	5.110232e-15	9.490431e-13	6.293390e-15	55.3425	1	0
12	1	39.7377	2	2.3539	-0.002645	2.257938e-01	2.171324e+01	5.342466e+00	0.0000	1	1
12	0	42.2461	2	1.0354	0.000000	1.422709e-01	2.841234e+01	2.544024e-01	54.6497	1	0
