Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
29	0	4	4.850265e-01	0	8.967307e+00	5.209864e+03	1.812854e+01	2.158218e+01	1	0
30	2	2	5.010644e-01	-6.569480e-02	6.016525e+00	5.890981e+02	6.346359e+00	100	0	1
30	0	2	3.178526e-01	0	1.563890e+01	3.246555e+03	5.434984e+01	9.760362e+00	1	0
31	2	3	8.011498e-01	-2.723615e+00	2.278917e+01	2.116088e+03	3.882784e+01	100	0	1
31	0	3	3.679192e-01	0	2.028776e+01	8.098440e+03	4.475919e+01	2.346068e+01	1	0
32	2	1	1.684693e+00	3.058789e-01	7.914872e+00	2.145041e+03	2.911133e+01	100	0	1
32	0	1	3.177706e-01	0	3.818796e+01	1.186938e+04	7.350985e+01	2.594485e+01	1	0
33	2	2	4.012916e-01	-1.293194e+00	5.920787e+01	1.626521e+03	9.272742e+01	100	0	1
33	0	2	9.619231e+00	0	4.598605e+01	7.217400e+03	1.047261e+02	5.492919e+01	1	0
34	2	4	5.666193e+00	1.004565e-01	2.518550e+01	9.280148e+03	5.882519e+01	7.817411e+01	1	1
34	0	4	2.150658e+00	0	4.432637e+01	1.254355e+04	1.065646e+02	8.170231e+01	1	0
35	2	1	1.184218e+00	8.282488e-01	1.861773e+01	1.999227e+03	7.066153e+01	100	0	1
35	0	1	8.508060e-01	0	6.947754e+00	2.600146e+03	1.360392e+01	2.584926e+01	1	0
36	2	3	6.385354e+00	-1.539638e+00	6.272339e+00	5.554298e+02	9.789766e+01	100	0	1
36	0	3	7.511522e-01	0	7.132543e+01	8.206243e+03	9.155285e+01	6.544309e+01	1	0
37	2	4	2.557976e+01	1.798178e+00	1.669310e+01	6.973009e+03	9.319340e+01	100	0	1
37	0	4	1.301317e+00	0	6.777004e+01	5.722024e+03	1.120953e+02	2.708590e+01	1	0
38	2	2	3.844899e-01	-1.612439e+00	4.405107e+01	9.477157e+02	9.760611e+01	100	0	1
38	0	2	3.491822e-02	0	3.889148e+00	8.821788e+01	6.443409e+00	5.093530e+01	1	0
39	2	3	1.016845e+00	-2.583404e-02	1.236997e+00	1.238439e+02	2.543182e+00	100	1	1
39	0	3	3.343158e-01	0	2.391310e+00	6.365625e+02	4.574955e+00	4.024898e+01	1	0
40	2	1	1.834102e+00	-3.474537e-02	2.990682e+00	3.823764e+02	7.030695e+00	1.085890e+01	1	1
40	0	1	5.509961e-01	0	2.398951e+00	7.603622e+02	2.816639e+00	100	1	0
41	2	2	3.350828e+00	1.588606e+00	9.424332e+00	4.012182e+02	9.996457e+01	100	0	1
41	0	2	1.516784e+00	0	7.899837e+01	5.278182e+03	1.065937e+02	2.655288e+01	1	0
42	2	4	2.014860e-01	-2.973911e+00	1.045358e+01	1.049682e+03	1.630427e+01	1.000000e+02	0	1
42	0	4	-1.514884e-02	0	2.345255e+00	4.583517e+00	2.345255e+00	100	1	0
43	2	1	2.174257e-01	-2.922162e+00	1.389397e+01	1.438614e+03	2.309217e+01	100	0	1
43	0	1	1.841282e-03	0	2.094342e+00	6.722980e+01	2.172132e+00	100	1	0
44	2	3	6.185456e-01	-1.699944e+00	4.728841e+01	8.296299e+02	9.712953e+01	100	0	1
44	0	3	2.768109e+00	0	3.104056e+01	1.288444e+03	9.784270e+01	2.015205e+01	1	0
45	2	4	1.534859e+00	-5.244530e-02	2.006336e+00	2.045360e+02	5.081067e+00	100	1	1
45	0	4	3.679075e-01	0	8.916466e+00	1.989321e+03	9.627617e+00	4.746783e+01	1	0
46	2	2	7.847231e-01	-3.456070e-02	2.909980e+00	2.781896e+02	3.305266e+00	1.000000e+02	1	1
46	0	2	2.484952e+00	0	6.069178e+00	1.527850e+03	1.920436e+01	8.350613e+01	1	0
47	2	3	1.634823e+00	3.154293e-02	3.777231e+00	5.694784e+02	6.049228e+00	1.786159e+01	1	1
47	0	3	1.345243e-01	0	8.673882e+00	1.834514e+03	1.238138e+01	5.011272e+01	1	0
48	2	1	1.311360e+01	-2.700074e+00	1.825905e+01	9.057294e+03	7.372387e+01	7.702245e+01	0	1
