Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
1	1	3	1.208324e+01	-1.214515e-02	3.538519e+00	9.336979e+02	3.397437e+01	5.907373e+01	1	1
1	0	3	3.351980e-01	0	3.656522e+00	7.309999e+02	6.833305e+00	5.009610e+01	1	0
2	1	4	1.351819e+00	2.449294e-16	1.257937e-14	1.216088e-12	2.367810e-14	1.000000e+02	1	1
2	0	4	7.585836e+00	0	6.000136e+01	6.910428e+04	1.001957e+02	8.362206e+01	1	0
3	1	1	8.678222e-01	-2.343321e-02	3.248492e-01	3.253956e+01	2.347692e+00	100	1	1
3	0	1	2.185785e-01	0	2.318635e+00	4.644609e+02	4.106137e+00	4.997667e+01	1	0
4	1	2	4.516451e-01	2.679907e-16	1.502671e-14	1.467383e-12	2.616973e-14	100	1	1
4	0	2	6.909563e-02	0	9.871664e-01	1.618493e+02	2.525112e+00	8.961154e+01	1	0
5	1	3	5.418104e+00	-2.991403e+00	7.047309e+00	6.667985e+02	1.431839e+01	100	0	1
5	0	3	5.138931e-02	0	4.784134e+00	5.874648e+02	7.383207e+00	50	1	0
6	1	1	1.618583e+00	6.474240e-02	5.976041e+00	6.078549e+02	1.172750e+01	6.067286e+01	1	1
6	0	1	2.193225e-01	0	2.120137e+00	4.209409e+02	3.910912e+00	5.042673e+01	1	0
7	1	4	1.385026e+00	6.356926e-02	7.327015e+00	6.986129e+02	1.169329e+01	5.995920e+01	1	1
7	0	4	3.352651e-01	0	2.873775e+00	5.588331e+02	5.665193e+00	4.979431e+01	1	0
8	1	2	1.901921e+00	3.270817e-02	3.038362e+00	3.045116e+02	7.799353e+00	9.114544e+01	1	1
8	0	2	2.687952e-01	0	1.855800e-14	3.689809e-12	2.638543e-14	5.000000e+01	1	0
9	1	3	1.801949e+00	1.836970e-16	9.238267e-15	8.985164e-13	1.786642e-14	100	1	1
9	0	3	4.520401e-01	0	1.372601e-14	2.699538e-12	1.836970e-14	5.084577e+01	1	0
10	1	4	9.187445e-01	2.449294e-16	1.242761e-14	1.184393e-12	2.334258e-14	100	1	1
10	0	4	1.857288e-01	0	1.767419e-14	3.503709e-12	2.439707e-14	5.024679e+01	1	0
11	1	1	1.034818e+00	9.379352e-02	5.051176e+00	4.812462e+02	9.154234e+00	9.853632e+01	1	1
11	0	1	2.841432e-01	0	4.923120e+00	9.509023e+02	8.964548e+00	5.075083e+01	1	0
12	1	2	1.268567e+00	1.609519e-02	4.568622e-02	4.460760e+00	1.565355e+00	100	1	1
12	0	2	2.515532e-01	0	1.906525e+00	3.808438e+02	3.125829e+00	7.339877e+01	1	0
13	1	1	1.051835e+00	1.581767e-01	9.221146e+00	8.713990e+02	1.507363e+01	100	1	1
13	0	1	5.017638e-01	0	1.152248e+01	2.233210e+03	1.471161e+01	5.116558e+01	1	0
14	1	3	1.318118e+00	1.836970e-16	9.122508e-15	8.765463e-13	1.765073e-14	100	1	1
14	0	3	5.360902e-01	0	1.351447e-14	2.702894e-12	1.836970e-14	50	1	0
15	1	2	1.136099e+00	2.052324e-01	8.383479e+00	7.870244e+02	1.954196e+01	1.000000e+02	0	1
15	0	2	3.347341e-01	0	1.526621e+01	2.875247e+03	2.028557e+01	5.089259e+01	1	0
16	1	4	1.586066e+00	2.463567e-02	6.349101e-01	6.581890e+01	3.129318e+00	9.410362e+01	1	1
16	0	4	4.853454e-01	0	5.284429e-01	1.052772e+02	9.784267e-01	5.019300e+01	1	0
17	2	2	1.401100e+00	1.180578e-01	6.113300e+00	5.809384e+02	1.127129e+01	100	1	1
17	0	2	2.678497e-01	0	8.259541e+00	1.598439e+03	1.127558e+01	5.079908e+01	1	0
18	2	4	7.011031e-01	1.322952e-01	4.549543e+00	4.509788e+02	1.319096e+01	100	1	1
18	0	4	2.007642e-01	0	9.645804e+00	1.913390e+03	1.490028e+01	4.990615e+01	1	0
19	2	1	6.853394e-01	2.928850e-02	1.281559e+00	1.283516e+02	2.934162e+00	100	1	1
19	0	1	3.183437e-01	0	1.497690e+00	2.965864e+02	3.324978e+00	5.058087e+01	1	0
20	2	3	7.340653e-01	1.836970e-16	9.452558e-15	9.064096e-13	1.761478e-14	1.000000e+02	1	1
20	0	3	3.188338e-01	0	1.341665e-14	2.659699e-12	1.836970e-14	5.044423e+01	1	0
21	2	4	7.854778e-01	7.228090e-02	3.612236e+00	3.602804e+02	7.221798e+00	100	1	1
21	0	4	2.024840e-01	0	5.058631e+00	1.008940e+03	8.191556e+00	4.996956e+01	1	0
22	2	2	1.568505e+00	4.007995e-03	3.963571e-01	1.133134e+02	4.300750e+00	3.278165e+01	1	1
22	0	2	2.351887e-01	0	9.764190e-01	1.956421e+02	1.760980e+00	4.999838e+01	1	0
23	2	3	4.268862e+00	-8.977759e-02	3.883238e+00	3.867599e+02	8.965703e+00	100	1	1
23	0	3	3.006251e-01	0	6.281205e+00	1.227035e+03	9.158992e+00	5.099295e+01	1	0
24	2	1	7.840245e-01	8.211943e-02	4.002301e+00	3.793666e+02	7.801410e+00	1.000000e+02	1	1
24	0	1	3.011371e-01	0	4.744700e+00	9.347351e+02	8.772445e+00	5.066387e+01	1	0
25	2	2	6.178156e-01	2.685763e-16	1.321046e-14	1.284853e-12	2.612180e-14	1.000000e+02	1	1
25	0	2	2.677308e-01	0	1.796519e-14	3.600069e-12	2.648129e-14	50	1	0
26	2	4	7.177379e-01	2.160764e-02	4.360442e-01	4.342361e+01	2.152139e+00	100	1	1
26	0	4	2.848109e-01	0	2.204789e+00	4.377265e+02	3.910900e+00	5.033056e+01	1	0
27	2	1	6.683818e-01	6.123234e-17	3.281427e-15	3.287849e-13	6.135217e-15	100	1	1
27	0	1	2.507761e-01	0	1.805415e-01	3.557834e+01	9.784095e-01	5.829480e+01	1	0
28	2	3	6.189128e-01	1.836970e-16	9.957182e-15	9.957182e-13	1.836970e-14	100	1	1
28	0	3	3.363269e-01	0	1.335977e-14	2.671954e-12	1.836970e-14	50	1	0
29	2	4	8.353329e-01	2.449294e-16	1.286655e-14	1.256440e-12	2.391776e-14	100	1	1
29	0	4	2.687195e-01	0	1.744215e-14	3.488429e-12	2.449294e-14	50	1	0
30	2	2	1.552198e+00	2.654125e-16	1.223837e-14	3.573317e-12	2.638543e-14	100	1	1
30	0	2	3.674224e-01	0	1.848306e-14	3.667676e-12	2.648129e-14	5.049310e+01	1	0
31	2	3	7.853604e-01	-3.035505e-02	1.043726e+00	1.008538e+02	2.934068e+00	100	1	1
31	0	3	3.181796e-01	0	2.201776e+00	4.384422e+02	3.324971e+00	5.020269e+01	1	0
32	2	1	3.051649e+00	-3.142384e-02	1.316120e+00	1.392740e+02	3.129570e+00	100	1	1
32	0	1	3.512019e-01	0	2.673405e+00	5.355353e+02	3.712825e+00	6.556483e+01	1	0
33	2	2	6.508092e-01	2.642957e-16	1.280824e-14	1.283331e-12	2.648129e-14	100	1	1
33	0	2	2.359381e-01	0	1.865978e-14	3.728304e-12	2.648129e-14	5.014691e+01	1	0
34	2	4	5.357306e-01	7.827629e-03	9.801486e-02	9.801186e+00	7.827549e-01	1.000000e+02	1	1
34	0	4	2.516406e-01	0	1.196591e+00	2.372107e+02	2.543208e+00	5.043274e+01	1	0
35	2	1	6.515940e-01	6.123234e-17	3.318710e-15	3.325204e-13	6.135217e-15	100	1	1
35	0	1	3.016711e-01	0	4.431617e-15	8.880578e-13	6.135217e-15	50	1	0
36	2	3	6.348527e-01	1.836970e-16	9.544008e-15	9.207820e-13	1.772263e-14	100	1	1
36	0	3	2.513651e-01	0	1.873589e-07	3.747186e-05	1.956943e-01	50	1	0
37	2	4	8.684555e-01	5.278848e-02	1.799320e+00	1.796813e+02	5.276397e+00	100	1	1
37	0	4	2.515355e-01	0	4.259243e+00	8.504800e+02	5.666030e+00	50	1	0
38	2	2	6.858362e-01	2.718833e-16	1.404012e-14	1.335322e-12	2.585818e-14	100	1	1
38	0	2	2.184965e-01	0	1.864130e-14	3.655299e-12	2.648129e-14	5.109780e+01	1	0
39	2	3	8.679677e-01	1.836970e-16	9.851825e-15	9.716868e-13	1.811806e-14	100	1	1
39	0	3	2.838651e-01	0	1.328277e-14	2.651356e-12	1.836970e-14	5.009804e+01	1	0
40	2	1	8.341823e-01	6.036144e-03	4.445115e-01	4.323252e+01	7.827520e-01	9.718154e+01	1	1
