::Queue started at 15-Feb-2013 12:22:49, with machine clock reading 732425.5661.::
::Experiment started at 15-Feb-2013 12:27:46, with machine clock reading 732722.2089.::
::TTL #1 expected (time-based): 0 recorded: 0 ::
space	1465444.4067
::Onset of trial expected: [N/A SELF PACED]  recorded: 65.4854 ::
trial	65.4854
::Onset of return expected: [N/A SELF PACED]  recorded: 66.2027 ::
return	66.2027
::Onset of trial expected: [N/A SELF PACED]  recorded: 66.9191 ::
trial	66.9191
::Onset of return expected: [N/A SELF PACED]  recorded: 67.6356 ::
return	67.6356
::Onset of trial expected: [N/A SELF PACED]  recorded: 68.2686 ::
trial	68.2686
::Onset of return expected: [N/A SELF PACED]  recorded: 69.9863 ::
return	69.9863
::Onset of trial expected: [N/A SELF PACED]  recorded: 70.7025 ::
trial	70.7025
::Onset of return expected: [N/A SELF PACED]  recorded: 71.4859 ::
return	71.4859
::Onset of trial expected: [N/A SELF PACED]  recorded: 72.2028 ::
trial	72.2028
::Onset of return expected: [N/A SELF PACED]  recorded: 72.9535 ::
return	72.9535
::Onset of trial expected: [N/A SELF PACED]  recorded: 73.5864 ::
trial	73.5864
::Onset of return expected: [N/A SELF PACED]  recorded: 74.3031 ::
return	74.3031
::Onset of trial expected: [N/A SELF PACED]  recorded: 75.0198 ::
trial	75.0198
::Onset of return expected: [N/A SELF PACED]  recorded: 75.9531 ::
return	75.9531
::Onset of trial expected: [N/A SELF PACED]  recorded: 76.6701 ::
trial	76.6701
::Onset of return expected: [N/A SELF PACED]  recorded: 77.4034 ::
return	77.4034
::Onset of trial expected: [N/A SELF PACED]  recorded: 78.0371 ::
trial	78.0371
::Onset of return expected: [N/A SELF PACED]  recorded: 78.8872 ::
return	78.8872
::Onset of trial expected: [N/A SELF PACED]  recorded: 79.6046 ::
trial	79.6046
::Onset of return expected: [N/A SELF PACED]  recorded: 80.5541 ::
return	80.5541
::Onset of trial expected: [N/A SELF PACED]  recorded: 81.271 ::
trial	81.2710
::Onset of return expected: [N/A SELF PACED]  recorded: 82.1376 ::
return	82.1376
::Onset of trial expected: [N/A SELF PACED]  recorded: 82.8551 ::
trial	82.8551
::Onset of return expected: [N/A SELF PACED]  recorded: 83.5713 ::
return	83.5713
::Onset of trial expected: [N/A SELF PACED]  recorded: 84.2877 ::
trial	84.2877
::Onset of return expected: [N/A SELF PACED]  recorded: 85.0056 ::
return	85.0056
::Onset of trial expected: [N/A SELF PACED]  recorded: 85.7223 ::
trial	85.7223
::Onset of return expected: [N/A SELF PACED]  recorded: 86.4891 ::
return	86.4891
::Onset of rest expected: [N/A SELF PACED]  recorded: 87.2058 ::
rest	87.2058
::Onset of cue expected: [N/A SELF PACED]  recorded: 92.2226 ::
cue	92.2226
::Onset of trial expected: [N/A SELF PACED]  recorded: 92.7518 ::
trial	92.7518
::Onset of return expected: [N/A SELF PACED]  recorded: 93.6062 ::
return	93.6062
::Onset of trial expected: [N/A SELF PACED]  recorded: 94.4403 ::
trial	94.4403
::Onset of return expected: [N/A SELF PACED]  recorded: 95.2402 ::
return	95.2402
::Onset of trial expected: [N/A SELF PACED]  recorded: 96.1566 ::
trial	96.1566
::Onset of return expected: [N/A SELF PACED]  recorded: 96.8739 ::
return	96.8739
::Onset of trial expected: [N/A SELF PACED]  recorded: 97.5068 ::
trial	97.5068
::Onset of return expected: [N/A SELF PACED]  recorded: 98.2238 ::
return	98.2238
::Onset of trial expected: [N/A SELF PACED]  recorded: 98.857 ::
trial	98.8570
::Onset of return expected: [N/A SELF PACED]  recorded: 99.5742 ::
return	99.5742
::Onset of trial expected: [N/A SELF PACED]  recorded: 100.2239 ::
trial	100.2239
::Onset of return expected: [N/A SELF PACED]  recorded: 100.9407 ::
return	100.9407
::Onset of trial expected: [N/A SELF PACED]  recorded: 101.7076 ::
trial	101.7076
::Onset of return expected: [N/A SELF PACED]  recorded: 102.4244 ::
return	102.4244
::Onset of trial expected: [N/A SELF PACED]  recorded: 103.3078 ::
trial	103.3078
::Onset of return expected: [N/A SELF PACED]  recorded: 104.2249 ::
return	104.2249
::Onset of trial expected: [N/A SELF PACED]  recorded: 104.9081 ::
trial	104.9081
::Onset of return expected: [N/A SELF PACED]  recorded: 105.8745 ::
return	105.8745
::Onset of trial expected: [N/A SELF PACED]  recorded: 106.5914 ::
trial	106.5914
::Onset of return expected: [N/A SELF PACED]  recorded: 107.9086 ::
return	107.9086
::Onset of trial expected: [N/A SELF PACED]  recorded: 108.625 ::
trial	108.6250
::Onset of return expected: [N/A SELF PACED]  recorded: 109.7919 ::
return	109.7919
::Onset of trial expected: [N/A SELF PACED]  recorded: 110.5082 ::
trial	110.5082
::Onset of return expected: [N/A SELF PACED]  recorded: 111.6088 ::
return	111.6088
::Onset of trial expected: [N/A SELF PACED]  recorded: 112.3255 ::
trial	112.3255
::Onset of return expected: [N/A SELF PACED]  recorded: 113.159 ::
return	113.1590
::Onset of trial expected: [N/A SELF PACED]  recorded: 113.8762 ::
trial	113.8762
::Onset of return expected: [N/A SELF PACED]  recorded: 114.7106 ::
return	114.7106
::Onset of trial expected: [N/A SELF PACED]  recorded: 115.3598 ::
trial	115.3598
::Onset of return expected: [N/A SELF PACED]  recorded: 116.5098 ::
return	116.5098
::Onset of trial expected: [N/A SELF PACED]  recorded: 117.2265 ::
trial	117.2265
::Onset of return expected: [N/A SELF PACED]  recorded: 117.9438 ::
return	117.9438
::Onset of rest expected: [N/A SELF PACED]  recorded: 118.6431 ::
rest	118.6431
