Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Reached Target
165	1	1	4.511064e-01	-8.995290e-02	4.289115e+00	4.252381e+02	8.942383e+00	100	1	1
166	1	3	5.510218e-01	8.238328e-02	4.692150e+00	5.278623e+02	9.289063e+00	100	1	1
167	1	4	8.507629e-01	-8.218599e-03	1.328300e+00	1.262638e+02	2.083984e+00	5.341901e+01	1	1
168	1	2	6.509570e-01	-8.494408e-02	4.023820e+00	3.886640e+02	8.224609e+00	100	1	1
169	1	4	7.337309e-01	-7.140735e-02	3.429505e+00	3.288306e+02	6.858398e+00	9.456734e+01	1	1
170	1	1	5.502018e-01	-5.340403e-02	2.657570e+00	2.989766e+02	6.013672e+00	100	1	1
171	1	2	6.167081e-01	-1.706158e-01	1.571653e+01	1.506838e+03	1.651855e+01	100	0	1
172	1	3	5.167459e-01	-5.822527e-02	4.749221e+00	4.801722e+02	5.893555e+00	8.866534e+01	1	1
173	1	1	5.339167e-01	-8.443627e-02	4.179200e+00	4.115125e+02	8.333984e+00	100	1	1
174	1	2	8.010857e-01	8.217670e-03	5.711107e-01	5.429400e+01	1.302734e+00	5.835705e+01	1	1
175	1	3	7.505775e-01	6.307830e-02	5.293749e+00	5.055737e+02	8.636719e+00	8.627347e+01	1	1
176	1	4	8.335148e-01	-2.540069e-02	2.148443e+00	2.063722e+02	3.115234e+00	6.592485e+01	1	1
177	2	2	6.339593e-01	-1.791378e-02	8.837985e-01	8.791896e+01	1.782227e+00	9.284354e+01	1	1
178	2	4	8.166581e-01	-5.889250e-02	3.170414e+00	3.080844e+02	7.378906e+00	8.329263e+01	1	1
179	2	1	8.166263e-01	-2.050014e-02	1.662352e+00	1.680161e+02	2.322266e+00	3.450052e+01	1	1
180	2	3	6.668799e-01	-2.505560e-02	3.569782e+00	3.423400e+02	3.791992e+00	1.336137e+01	1	1
181	2	4	7.002682e-01	-2.335122e-02	9.854221e-01	9.522122e+01	2.256836e+00	9.460833e+01	1	1
182	2	2	7.000368e-01	-8.431221e-02	6.561449e+00	6.212616e+02	8.001953e+00	5.351087e+01	1	1
