Trial	Type	Onset	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
1	1	0.7729	3	4.4501	-0.137788	5.894279e+00	1.449088e+03	1.707392e+01	31.2463	1	1
1	0	5.7378	3	0.7683	0.000000	5.394413e-01	1.017699e+02	2.278981e+00	97.0156	1	0
2	1	6.6547	1	1.0012	0.010695	4.437395e+00	4.475675e+02	1.061373e+01	96.3494	1	1
2	0	7.7882	1	0.4181	0.000000	4.552760e+00	8.492585e+02	1.076305e+01	85.3668	1	0
3	1	8.6717	2	0.4845	-0.461518	1.842191e+01	1.620339e+03	4.259615e+01	100.0000	0	1
3	0	9.6386	2	0.7344	0.000000	1.683429e+01	3.477059e+03	2.050952e+01	53.4027	1	0
4	1	10.5053	4	1.1345	-0.052722	1.358114e+00	1.619209e+02	5.080993e+00	100.0000	1	1
4	0	11.7888	4	0.5345	0.000000	8.348412e+00	1.525275e+03	1.553296e+01	85.6507	1	0
5	1	12.5056	4	1.0178	0.023868	2.843169e+00	2.993859e+02	6.898123e+00	7.4060	1	1
5	0	13.6558	4	0.5511	0.000000	4.205998e+00	7.571758e+02	1.416035e+01	81.6888	1	0
6	1	14.3726	2	0.8679	-0.074331	2.897689e+00	3.278355e+02	1.046274e+01	9.6483	1	1
6	0	15.3728	2	0.2513	0.000000	9.420166e+00	1.932236e+03	1.606362e+01	60.1606	1	0
7	1	16.0895	3	1.3014	-0.010638	3.101975e+00	3.315675e+02	7.808654e+00	59.6847	1	1
7	0	17.5231	3	0.5511	0.000000	4.041431e+00	7.644275e+02	1.893505e+01	60.7458	1	0
8	1	18.2399	1	1.0346	0.015914	7.456324e-01	7.551815e+01	1.780508e+00	98.9820	1	1
8	0	19.4234	1	0.4178	0.000000	3.294434e+00	6.007302e+02	5.577091e+00	71.1340	1	0
9	1	20.1498	2	0.9673	-0.111535	1.369912e+01	1.347498e+03	2.009269e+01	34.7434	1	1
9	0	21.2569	2	0.3175	0.000000	1.149291e+01	2.404884e+03	1.462653e+01	53.9598	1	0
10	1	21.9737	3	1.4013	-0.013368	6.788305e+00	7.910223e+02	2.373549e+01	79.5170	1	1
10	0	23.5153	3	0.5678	0.000000	6.544155e+00	1.257460e+03	1.187952e+01	54.0829	1	0
11	1	24.2317	4	0.9842	0.012986	4.051701e+00	4.349649e+02	1.063680e+01	9.7153	1	1
11	0	25.3645	4	0.4510	0.000000	2.636287e+00	5.056039e+02	1.149081e+01	100.0000	1	0
12	1	26.0911	1	0.4012	-0.010582	3.265999e+00	4.043805e+02	1.006354e+01	23.5559	1	1
12	0	26.8079	1	0.3177	0.000000	1.895292e+00	3.435621e+02	4.556021e+00	83.2111	1	0
13	1	27.5246	2	0.6679	0.146012	1.436803e+01	1.387119e+03	2.739491e+01	62.8231	1	1
13	0	28.3468	2	0.2847	0.000000	7.647424e+00	1.515963e+03	1.063063e+01	52.9888	1	0
14	1	29.0634	1	0.4343	-0.034745	1.752569e+00	1.678210e+02	3.558681e+00	91.7482	1	1
14	0	29.7798	1	0.2848	0.000000	3.792975e+00	6.655576e+02	7.838261e+00	69.6927	1	0
15	1	30.4962	3	1.1677	0.002674	2.413092e+00	2.415110e+02	1.623234e+01	4.0262	1	1
15	0	31.8125	3	0.4846	0.000000	3.768442e+00	6.921724e+02	1.428428e+01	65.2132	1	0
16	1	32.5289	4	0.7342	0.002639	5.251501e+00	5.091432e+02	1.856446e+01	1.0485	1	1
16	0	33.3953	4	0.3341	0.000000	1.339646e+00	2.422416e+02	1.252134e+01	100.0000	1	0
17	1	34.1116	4	1.0842	-0.010610	7.546769e+00	7.459578e+02	1.476746e+01	30.5612	1	1
17	0	35.3446	4	0.5845	0.000000	7.298640e+00	1.297747e+03	8.868102e+00	55.2900	1	0
18	1	36.0776	3	0.8343	-0.013297	2.757442e+00	2.637434e+02	4.065526e+00	86.3386	1	1
18	0	37.0440	3	0.5175	0.000000	4.031327e+00	7.272550e+02	1.177165e+01	86.6164	1	0
19	1	37.7605	1	0.3842	-0.021273	2.621773e+00	2.512431e+02	3.941325e+00	16.1413	1	1
19	0	38.4769	1	0.2676	0.000000	4.117106e+00	7.420612e+02	6.509231e+00	88.6656	1	0
20	1	39.2100	2	0.5509	0.103082	7.249054e+00	7.320308e+02	1.161059e+01	52.2519	1	1
20	0	39.9265	2	0.2677	0.000000	4.561117e+00	9.517255e+02	6.854531e+00	54.8481	1	0
21	1	40.6432	4	0.8846	0.061420	5.760245e+00	5.644418e+02	8.095876e+00	81.2616	1	1
21	0	41.6768	4	0.3677	0.000000	5.340473e+00	9.478499e+02	5.840639e+00	54.5127	1	0
22	1	42.3935	2	0.6512	-0.039350	1.420537e+01	1.414231e+03	2.840410e+01	86.1318	1	1
22	0	43.1770	2	0.3179	0.000000	1.014049e+01	2.148673e+03	1.423413e+01	71.1222	1	0
23	1	43.8939	1	0.6177	0.000000	1.601421e+00	1.803244e+02	7.270420e+00	16.6155	1	1
23	0	44.6440	1	0.2677	0.000000	2.517909e+00	4.543983e+02	4.747026e+00	94.7969	1	0
24	1	45.3607	3	0.7011	-0.018714	3.092214e+00	2.941627e+02	1.035142e+01	87.8468	1	1
24	0	46.1942	3	0.4344	0.000000	1.133978e+00	2.010648e+02	1.780474e+00	59.9752	1	0
25	1	46.9109	2	0.4678	0.388319	2.587504e+01	2.464840e+03	3.814485e+01	100.0000	0	1
25	0	47.6276	2	0.3680	0.000000	1.261939e+01	2.663894e+03	1.849417e+01	59.0902	1	0
26	1	48.2736	3	1.2507	0.010638	1.144503e+01	1.433790e+03	3.342020e+01	81.5844	1	1
26	0	49.6612	3	0.4180	0.000000	5.833383e+00	1.120470e+03	1.105432e+01	93.6956	1	0
27	1	50.3781	1	0.5178	0.042755	1.149352e+00	1.092572e+02	5.562353e+00	7.3143	1	1
27	0	51.0949	1	0.3177	0.000000	5.435638e+00	9.648016e+02	6.071234e+00	77.3150	1	0
28	1	51.8116	4	1.1182	0.023805	8.678382e+00	9.672712e+02	3.269177e+01	6.8884	1	1
28	0	53.0785	4	0.5512	0.000000	4.324668e+00	8.154448e+02	1.247812e+01	100.0000	1	0
29	1	53.7953	1	0.5511	-0.076570	1.174786e+01	1.128696e+03	1.302677e+01	76.8610	1	1
29	0	54.5214	1	0.3343	0.000000	3.106146e+00	5.575731e+02	3.559254e+00	54.1121	1	0
30	1	55.2380	4	0.6342	0.015872	9.728275e+00	9.791681e+02	2.028931e+01	88.7895	1	1
30	0	56.0290	4	0.5012	0.000000	1.554264e+00	2.744056e+02	6.273543e+00	89.6326	1	0
31	1	56.7456	2	0.6013	-0.028939	2.012984e+01	2.199596e+03	4.100026e+01	79.6758	1	1
31	0	57.5039	2	0.2344	0.000000	1.097341e+01	2.324320e+03	1.469385e+01	71.6929	1	0
32	1	58.2202	3	0.9674	0.002674	1.151152e+01	1.115224e+03	1.849873e+01	63.0127	1	1
32	0	59.3199	3	0.4346	0.000000	2.644279e+00	5.003040e+02	1.011068e+01	62.2896	1	0
33	1	60.0363	2	0.8011	0.032075	1.763085e+01	1.748239e+03	5.137936e+01	5.1206	1	1
33	0	60.9859	2	0.2512	0.000000	2.430537e+00	4.653638e+02	5.196562e+00	100.0000	1	0
34	1	61.7023	1	0.4509	-0.013227	1.303029e+00	1.346340e+02	2.755404e+00	21.9681	1	1
34	0	62.4301	1	0.2677	0.000000	9.937987e+00	1.815168e+03	1.280137e+01	64.9977	1	0
35	1	63.1467	3	0.8012	-0.077385	1.157349e+01	1.229081e+03	3.271984e+01	9.7229	1	1
35	0	64.0849	3	0.2844	0.000000	4.275682e+00	7.428806e+02	7.533682e+00	84.1770	1	0
36	1	64.8012	4	0.9509	0.089942	8.794477e+00	8.400687e+02	1.375978e+01	78.0477	1	1
36	0	65.9010	4	0.5675	0.000000	1.529754e+01	2.992043e+03	2.681760e+01	68.6891	1	0
37	1	66.6174	1	0.5008	-0.023742	5.644027e+00	5.881495e+02	7.596831e+00	83.0743	1	1
37	0	67.3338	1	0.3176	0.000000	4.835220e+00	9.118580e+02	5.683610e+00	92.0169	1	0
38	1	68.0668	3	0.9008	-0.015956	5.869342e+00	6.341934e+02	1.875626e+01	14.2622	1	1
38	0	69.1165	3	0.3845	0.000000	4.926244e+00	9.520782e+02	1.100881e+01	96.2968	1	0
39	1	69.8330	2	0.5846	0.214723	2.061879e+01	1.979370e+03	3.154702e+01	87.3948	1	1
39	0	70.5661	2	0.3014	0.000000	2.820598e+00	5.976436e+02	4.072277e+00	100.0000	1	0
40	1	71.2824	4	1.2343	-0.010666	4.732392e+00	5.478123e+02	5.586272e+00	78.3099	1	1
40	0	72.6653	4	0.4346	0.000000	1.983462e+00	3.906506e+02	7.705026e+00	89.2890	1	0
41	1	73.3818	3	0.5843	-0.026519	1.423077e+00	1.595003e+02	5.851272e+00	14.4583	1	1
41	0	74.0983	3	0.3513	0.000000	4.468804e+00	8.562623e+02	1.199810e+01	90.0066	1	0
42	1	74.8151	4	0.6846	-0.263181	2.389825e+01	2.338488e+03	4.305824e+01	7.2416	0	1
42	0	75.6487	4	0.4510	0.000000	3.009853e+01	5.620675e+03	4.256285e+01	53.2237	1	0
