Trial	Type	Onset	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
29	0	66.7593	2	0.4362	0.000000	5.696417e+00	1.195540e+03	9.847905e+00	56.1840	1	0
30	3	67.4774	3	1.1178	0.088545	1.858260e+01	1.815622e+03	3.128684e+01	76.6398	1	1
30	0	68.7603	3	0.5846	0.000000	1.174907e+01	2.415576e+03	2.225807e+01	89.3819	1	0
31	3	69.4934	4	1.1353	-0.021501	2.997051e+00	2.866184e+02	9.205039e+00	72.2509	1	1
31	0	70.7776	4	0.6178	0.000000	1.482154e+01	2.854497e+03	4.847031e+01	86.3917	1	0
32	3	71.5435	1	1.3861	0.091360	2.301229e+01	2.290045e+03	4.057730e+01	74.9712	1	1
32	0	73.0942	1	0.5016	0.000000	5.626420e+00	1.127445e+03	7.395944e+00	54.0514	1	0
33	1	79.3459	1	0.9177	0.000000	3.125327e-15	3.037255e-13	5.950681e-15	100.0000	1	1
33	0	80.4124	1	0.4344	0.000000	2.109473e+00	4.442702e+02	8.995045e+00	92.9309	1	0
34	1	81.1287	4	0.6854	-0.177596	6.315363e+00	6.167372e+02	1.798329e+01	95.1432	1	1
34	0	81.9787	4	0.3852	0.000000	5.866960e+00	1.347793e+03	1.139422e+01	50.9218	1	0
35	1	82.6960	2	0.8010	0.000000	1.222407e-14	1.169301e-12	2.592528e-14	100.0000	1	1
35	0	83.6454	2	0.3355	0.000000	2.225024e-14	5.009569e-12	2.888505e-14	53.2203	1	0
36	1	84.3625	3	0.7181	-0.180552	9.082609e+00	8.592258e+02	1.773898e+01	97.7182	1	1
36	0	85.2461	3	0.4688	0.000000	1.180802e+01	2.413595e+03	1.485675e+01	50.5089	1	0
37	1	85.9632	4	0.8347	0.000000	1.255306e-14	1.239092e-12	2.417659e-14	100.0000	1	1
37	0	86.9637	4	0.3348	0.000000	1.773254e+00	3.684999e+02	2.543356e+00	53.1166	1	0
38	1	87.6795	3	0.6853	0.000000	4.830298e-02	4.657314e+00	7.631829e-01	94.9835	1	1
38	0	88.5298	3	0.4012	0.000000	6.985173e-01	1.366691e+02	1.780561e+00	54.2285	1	0
39	1	89.2461	1	0.7360	0.000000	3.097613e-15	2.978801e-13	5.888370e-15	100.0000	1	1
39	0	90.1468	1	0.3852	0.000000	3.631482e+00	7.407076e+02	1.024421e+01	81.5492	1	0
40	1	90.8641	2	0.5182	0.000000	1.234626e+01	1.180989e+03	1.745981e+01	57.5470	1	1
40	0	91.5802	2	0.3528	0.000000	1.360358e+00	3.028410e+02	2.797665e+00	53.5912	1	0
41	1	92.2975	1	0.7020	0.000000	3.094146e-15	2.951852e-13	5.841637e-15	100.0000	1	1
41	0	93.1641	1	0.4517	0.000000	1.803661e+00	3.753600e+02	7.246973e+00	88.5898	1	0
42	1	93.8809	2	0.4685	0.000000	4.048512e+00	3.975622e+02	6.268839e+00	37.2812	1	1
