Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Reached Target
1	1	3	1.052450e+00	-1.905101e-01	1.669673e+01	1.878365e+03	2.169531e+01	100	0	1
2	1	4	8.018020e-01	1.913133e-01	1.729669e+01	1.708859e+03	1.903418e+01	100	0	1
3	1	1	1.034549e+00	9.011351e-03	3.043269e+00	2.898863e+02	6.674805e+00	5.971438e+01	1	1
4	1	2	1.000191e+00	3.625779e-02	1.778832e+00	1.755641e+02	3.580078e+00	100	1	1
5	1	3	1.050502e+00	2.717237e-02	1.381828e+00	1.324166e+02	2.604492e+00	100	1	1
6	1	1	1.066799e+00	4.988202e-02	3.027796e+00	2.896217e+02	4.775391e+00	100	1	1
7	1	4	1.233794e+00	3.658997e-03	2.501256e+00	2.376536e+02	3.810547e+00	8.162991e+01	1	1
8	1	2	6.343660e-01	5.057097e-02	3.371791e+00	3.238499e+02	4.861328e+00	9.484708e+01	1	1
9	1	3	9.005657e-01	-2.691906e-03	2.998050e-01	2.903951e+01	7.812500e-01	8.359748e+01	1	1
10	1	4	8.836385e-01	-5.475148e-03	6.701150e-01	6.370542e+01	1.041992e+00	6.748880e+01	1	1
11	1	1	8.006337e-01	3.879507e-02	2.008992e+00	1.932360e+02	3.733398e+00	9.512661e+01	1	1
12	1	2	6.004824e-01	5.648950e-02	4.640002e+00	4.487208e+02	7.291992e+00	8.761057e+01	1	1
13	1	1	8.336133e-01	-5.206751e-02	2.171768e+00	2.062077e+02	5.468750e+00	8.911939e+01	1	1
14	1	3	8.018875e-01	-1.090524e-02	7.715077e-01	7.371440e+01	1.041992e+00	4.320772e+01	1	1
15	1	2	7.505700e-01	-3.283985e-02	2.194039e+00	2.087723e+02	3.298828e+00	7.417948e+01	1	1
16	1	4	7.004115e-01	1.368653e-02	1.421912e+00	1.353344e+02	1.563477e+00	9.863126e+01	1	1
17	3	2	1.001333e+00	7.583794e-01	3.785345e+01	2.650243e+03	6.632855e+01	100	0	1
18	3	3	9.676563e-01	6.301152e-01	3.779296e+01	2.965569e+03	6.312033e+01	7.981520e+01	0	1
19	3	4	6.681402e-01	7.332996e-01	3.579955e+01	2.527381e+03	6.360025e+01	100	0	1
20	3	1	7.338835e-01	8.709913e-01	4.002624e+01	2.454855e+03	7.284374e+01	100	0	1
21	3	4	9.668412e-01	6.452499e-01	2.979791e+01	2.278638e+03	5.756153e+01	100	0	1
22	3	3	-1.744589e+05	4.523783e-01	5.237703e+00	9.759606e+01	9.055662e+00	100	0	0
23	3	1	-1.744571e+05	3.872815e-01	1.121395e+01	4.557349e+02	1.657627e+01	100	0	0
24	3	2	-1.744554e+05	3.875155e-01	7.446760e+00	1.960119e+02	1.074333e+01	100	0	0
25	3	4	-1.744536e+05	2.782444e-01	4.072983e+00	8.742197e+01	6.131251e+00	9.485249e+01	0	0
26	3	2	-1.744519e+05	8.602545e-01	5.759467e+00	5.229101e+01	1.055136e+01	100	0	0
27	3	1	-1.744501e+05	4.706071e-01	1.143101e+01	3.621302e+02	1.617852e+01	8.938902e+01	0	0
