::Queue started at 31-Jan-2013 10:19:24, with machine clock reading 516976.1907.::
::Experiment started at 31-Jan-2013 10:19:25, with machine clock reading 516976.5895.::
::TTL #1 expected (time-based): 0 recorded: 0 ::
=+	1033953.1662
::Onset of trial expected: [N/A SELF PACED]  recorded: 461.4143 ::
trial	461.4143
::Onset of return expected: [N/A SELF PACED]  recorded: 467.9411 ::
return	467.9411
::Onset of trial expected: [N/A SELF PACED]  recorded: 469.0407 ::
trial	469.0407
::Onset of return expected: [N/A SELF PACED]  recorded: 494.786 ::
return	494.7860
::Onset of trial expected: [N/A SELF PACED]  recorded: 499.8869 ::
trial	499.8869
::Onset of return expected: [N/A SELF PACED]  recorded: 500.6036 ::
return	500.6036
::Onset of trial expected: [N/A SELF PACED]  recorded: 506.5115 ::
trial	506.5115
::Onset of return expected: [N/A SELF PACED]  recorded: 507.6605 ::
return	507.6605
::Onset of trial expected: [N/A SELF PACED]  recorded: 508.3773 ::
trial	508.3773
::Onset of return expected: [N/A SELF PACED]  recorded: 510.3596 ::
return	510.3596
::Onset of trial expected: [N/A SELF PACED]  recorded: 512.209 ::
trial	512.2090
::Onset of return expected: [N/A SELF PACED]  recorded: 515.7083 ::
return	515.7083
::Onset of trial expected: [N/A SELF PACED]  recorded: 517.5571 ::
trial	517.5571
::Onset of return expected: [N/A SELF PACED]  recorded: 518.2739 ::
return	518.2739
::Onset of trial expected: [N/A SELF PACED]  recorded: 519.2739 ::
trial	519.2739
::Onset of return expected: [N/A SELF PACED]  recorded: 519.9897 ::
return	519.9897
::Onset of trial expected: [N/A SELF PACED]  recorded: 522.4404 ::
trial	522.4404
::Onset of return expected: [N/A SELF PACED]  recorded: 523.2072 ::
return	523.2072
::Onset of trial expected: [N/A SELF PACED]  recorded: 526.9576 ::
trial	526.9576
::Onset of return expected: [N/A SELF PACED]  recorded: 528.6412 ::
return	528.6412
::Onset of trial expected: [N/A SELF PACED]  recorded: 529.358 ::
trial	529.3580
::Onset of return expected: [N/A SELF PACED]  recorded: 530.2747 ::
return	530.2747
::Onset of trial expected: [N/A SELF PACED]  recorded: 532.9085 ::
trial	532.9085
::Onset of return expected: [N/A SELF PACED]  recorded: 534.6921 ::
return	534.6921
::Onset of trial expected: [N/A SELF PACED]  recorded: 535.4184 ::
trial	535.4184
::Onset of return expected: [N/A SELF PACED]  recorded: 548.6972 ::
return	548.6972
ESCAPE	625.7395
ESCAPE	626.0395
Return	626.9398
LeftControl	627.0730
