::Queue started at 07-Feb-2013 16:41:44, with machine clock reading 659589.442.::
::Experiment started at 07-Feb-2013 16:55:30, with machine clock reading 660414.5141.::
::TTL #1 expected (time-based): 0 recorded: 0 ::
space	1320829.0104
::Onset of trial expected: [N/A SELF PACED]  recorded: 71.6027 ::
trial	71.6027
::Onset of return expected: [N/A SELF PACED]  recorded: 72.5198 ::
return	72.5198
::Onset of trial expected: [N/A SELF PACED]  recorded: 73.2367 ::
trial	73.2367
::Onset of return expected: [N/A SELF PACED]  recorded: 73.9532 ::
return	73.9532
::Onset of trial expected: [N/A SELF PACED]  recorded: 74.6701 ::
trial	74.6701
::Onset of return expected: [N/A SELF PACED]  recorded: 75.3863 ::
return	75.3863
::Onset of trial expected: [N/A SELF PACED]  recorded: 76.0202 ::
trial	76.0202
::Onset of return expected: [N/A SELF PACED]  recorded: 76.7364 ::
return	76.7364
::Onset of trial expected: [N/A SELF PACED]  recorded: 77.4533 ::
trial	77.4533
::Onset of return expected: [N/A SELF PACED]  recorded: 78.1871 ::
return	78.1871
::Onset of trial expected: [N/A SELF PACED]  recorded: 78.9047 ::
trial	78.9047
::Onset of return expected: [N/A SELF PACED]  recorded: 79.6206 ::
return	79.6206
::Onset of trial expected: [N/A SELF PACED]  recorded: 80.3378 ::
trial	80.3378
::Onset of return expected: [N/A SELF PACED]  recorded: 81.3042 ::
return	81.3042
::Onset of trial expected: [N/A SELF PACED]  recorded: 82.0209 ::
trial	82.0209
::Onset of return expected: [N/A SELF PACED]  recorded: 82.7712 ::
return	82.7712
::Onset of trial expected: [N/A SELF PACED]  recorded: 83.4873 ::
trial	83.4873
::Onset of return expected: [N/A SELF PACED]  recorded: 84.205 ::
return	84.2050
::Onset of trial expected: [N/A SELF PACED]  recorded: 84.9222 ::
trial	84.9222
::Onset of return expected: [N/A SELF PACED]  recorded: 85.8884 ::
return	85.8884
::Onset of trial expected: [N/A SELF PACED]  recorded: 86.605 ::
trial	86.6050
::Onset of return expected: [N/A SELF PACED]  recorded: 88.089 ::
return	88.0890
::Onset of trial expected: [N/A SELF PACED]  recorded: 88.8054 ::
trial	88.8054
::Onset of return expected: [N/A SELF PACED]  recorded: 89.6224 ::
return	89.6224
::Onset of trial expected: [N/A SELF PACED]  recorded: 90.339 ::
trial	90.3390
::Onset of return expected: [N/A SELF PACED]  recorded: 91.0562 ::
return	91.0562
::Onset of trial expected: [N/A SELF PACED]  recorded: 91.773 ::
trial	91.7730
::Onset of return expected: [N/A SELF PACED]  recorded: 92.6221 ::
return	92.6221
::Onset of rest expected: [N/A SELF PACED]  recorded: 93.3397 ::
rest	93.3397
::Onset of cue expected: [N/A SELF PACED]  recorded: 98.3688 ::
cue	98.3688
::Onset of trial expected: [N/A SELF PACED]  recorded: 98.9034 ::
trial	98.9034
::Onset of return expected: [N/A SELF PACED]  recorded: 99.7742 ::
return	99.7742
::Onset of trial expected: [N/A SELF PACED]  recorded: 100.6908 ::
trial	100.6908
::Onset of return expected: [N/A SELF PACED]  recorded: 101.7077 ::
return	101.7077
::Onset of trial expected: [N/A SELF PACED]  recorded: 102.4746 ::
trial	102.4746
::Onset of return expected: [N/A SELF PACED]  recorded: 103.7241 ::
return	103.7241
::Onset of trial expected: [N/A SELF PACED]  recorded: 104.3581 ::
trial	104.3581
::Onset of return expected: [N/A SELF PACED]  recorded: 105.2085 ::
return	105.2085
::Onset of trial expected: [N/A SELF PACED]  recorded: 105.9242 ::
trial	105.9242
::Onset of return expected: [N/A SELF PACED]  recorded: 106.7914 ::
return	106.7914
::Onset of trial expected: [N/A SELF PACED]  recorded: 107.5083 ::
trial	107.5083
::Onset of return expected: [N/A SELF PACED]  recorded: 108.2247 ::
return	108.2247
::Onset of trial expected: [N/A SELF PACED]  recorded: 108.9416 ::
trial	108.9416
