::Queue started at 24-Feb-2013 14:42:29, with machine clock reading 272326.2269.::
::Experiment started at 24-Feb-2013 14:42:33, with machine clock reading 272329.775.::
::TTL #1 expected (time-based): 0 recorded: 0 ::
=+	544659.5361
::Onset of cue expected: [N/A SELF PACED]  recorded: 0.015116 ::
cue	0.0151
::Onset of trial expected: [N/A SELF PACED]  recorded: 0.53183 ::
trial	0.5318
::Onset of return expected: [N/A SELF PACED]  recorded: 4.7073 ::
return	4.7073
::Onset of trial expected: [N/A SELF PACED]  recorded: 6.0827 ::
trial	6.0827
::Onset of return expected: [N/A SELF PACED]  recorded: 7.823 ::
return	7.8230
::Onset of trial expected: [N/A SELF PACED]  recorded: 8.6228 ::
trial	8.6228
::Onset of return expected: [N/A SELF PACED]  recorded: 10.2722 ::
return	10.2722
::Onset of trial expected: [N/A SELF PACED]  recorded: 11.1551 ::
trial	11.1551
::Onset of return expected: [N/A SELF PACED]  recorded: 13.3878 ::
return	13.3878
::Onset of trial expected: [N/A SELF PACED]  recorded: 14.8374 ::
trial	14.8374
::Onset of return expected: [N/A SELF PACED]  recorded: 17.9195 ::
return	17.9195
::Onset of trial expected: [N/A SELF PACED]  recorded: 18.9859 ::
trial	18.9859
::Onset of return expected: [N/A SELF PACED]  recorded: 20.2354 ::
return	20.2354
::Onset of trial expected: [N/A SELF PACED]  recorded: 21.0852 ::
trial	21.0852
::Onset of return expected: [N/A SELF PACED]  recorded: 23.8855 ::
return	23.8855
::Onset of trial expected: [N/A SELF PACED]  recorded: 25.1189 ::
trial	25.1189
::Onset of return expected: [N/A SELF PACED]  recorded: 26.0524 ::
return	26.0524
::Onset of trial expected: [N/A SELF PACED]  recorded: 26.8359 ::
trial	26.8359
::Onset of return expected: [N/A SELF PACED]  recorded: 28.7696 ::
return	28.7696
::Onset of trial expected: [N/A SELF PACED]  recorded: 29.8029 ::
trial	29.8029
::Onset of return expected: [N/A SELF PACED]  recorded: 30.6365 ::
return	30.6365
::Onset of trial expected: [N/A SELF PACED]  recorded: 31.5365 ::
trial	31.5365
::Onset of return expected: [N/A SELF PACED]  recorded: 33.6869 ::
return	33.6869
::Onset of trial expected: [N/A SELF PACED]  recorded: 34.4537 ::
trial	34.4537
::Onset of return expected: [N/A SELF PACED]  recorded: 35.5539 ::
return	35.5539
::Onset of trial expected: [N/A SELF PACED]  recorded: 36.2706 ::
trial	36.2706
::Onset of return expected: [N/A SELF PACED]  recorded: 37.8542 ::
return	37.8542
::Onset of trial expected: [N/A SELF PACED]  recorded: 39.0125 ::
trial	39.0125
::Onset of return expected: [N/A SELF PACED]  recorded: 40.9785 ::
return	40.9785
::Onset of trial expected: [N/A SELF PACED]  recorded: 41.8448 ::
trial	41.8448
::Onset of return expected: [N/A SELF PACED]  recorded: 43.311 ::
return	43.3110
::Onset of trial expected: [N/A SELF PACED]  recorded: 44.2101 ::
trial	44.2101
::Onset of return expected: [N/A SELF PACED]  recorded: 45.9429 ::
return	45.9429
::Onset of rest expected: [N/A SELF PACED]  recorded: 46.676 ::
rest	46.6760
::Onset of cue expected: [N/A SELF PACED]  recorded: 58.7073 ::
cue	58.7073
::Onset of trial expected: [N/A SELF PACED]  recorded: 59.2242 ::
trial	59.2242
