Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
73	1	4	3.677640e-01	-3.141593e+00	1.980935e-14	1.984812e-12	1.956947e-01	4.783777e-17	0	1
73	0	4	2.845693e-01	0	2.717117e-14	5.444868e-12	3.875172e-14	50	1	0
74	1	2	4.683899e-01	2.688709e-16	1.324085e-14	1.300764e-12	2.609784e-14	100	1	1
74	0	2	3.509823e-01	0	6.948987e-01	1.373541e+02	2.152127e+00	4.980197e+01	1	0
75	1	1	4.026245e-01	1.514216e+00	7.484820e+01	5.141972e+02	1.000354e+02	1.000000e+02	0	1
75	0	1	3.178098e-01	0	6.785501e+01	1.464790e+03	9.979374e+01	4.690316e+01	1	0
76	1	3	4.183015e-01	-1.542691e+00	5.747853e+01	2.471235e+02	9.741748e+01	100	0	1
76	0	3	4.183577e-01	0	1.001929e+02	3.136912e+02	1.001957e+02	1.000000e+02	1	0
77	1	2	5.024460e-01	-6.072800e-03	2.946545e-01	2.848466e+01	1.174073e+00	9.554060e+01	1	1
77	0	2	3.844535e-01	0	1.972186e+00	3.937452e+02	2.934162e+00	5.017509e+01	1	0
78	1	3	4.845696e-01	-1.590635e+00	7.059131e+01	2.485543e+02	9.861073e+01	100	0	1
78	0	3	4.020216e-01	0	7.699500e+01	8.353451e+02	1.001726e+02	2.704568e+01	1	0
79	1	4	4.017020e-01	3.127279e+00	4.957308e-01	4.743396e+01	1.369723e+00	1.000000e+02	0	1
79	0	4	3.346652e-01	0	3.013626e+00	6.039008e+02	4.106137e+00	4.998058e+01	1	0
80	1	1	4.675616e-01	1.570796e+00	7.861442e-01	1.523188e+00	9.726027e+01	100	0	1
80	0	1	4.013242e-01	0	7.265016e+01	2.956291e-12	1.001957e+02	50	1	0
81	2	2	1.002405e+00	-1.430328e-01	3.470885e+00	3.454253e+02	1.375244e+01	100	0	1
81	0	2	3.514900e-01	0	8.443426e+00	1.678623e+03	1.697227e+01	4.976550e+01	1	0
82	2	4	2.857123e-01	-3.094104e+00	2.344506e+00	2.323541e+02	4.691378e+00	100	0	1
82	0	4	1.183967e-01	0	6.809467e+00	1.307413e+03	8.577812e+00	5.107310e+01	1	0
83	2	1	6.819356e-02	1.641671e+00	7.229759e+01	6.332181e+02	9.623528e+01	100	0	1
83	0	1	-1.498402e-02	0	1.198285e-17	2.344980e-18	1.198285e-17	100	1	0
84	2	3	-1.445561e-02	-1.570796e+00	1.001957e+02	3.268033e-12	1.001957e+02	100	0	1
84	0	3	-1.464702e-02	0	3.594854e-17	7.034939e-18	3.594854e-17	100	1	0
85	2	4	-1.421179e-02	-3.141593e+00	3.875172e-14	3.882756e-12	3.875172e-14	100	0	1
85	0	4	-1.555581e-02	0	1.383771e-01	1.914821e-02	1.383771e-01	100	1	0
86	2	2	-1.469697e-02	2.642957e-16	2.648129e-14	2.653311e-12	2.648129e-14	100	1	1
86	0	2	-1.444696e-02	0	0	0	0	0	1	0
87	2	3	-1.462588e-02	-1.570796e+00	1.001957e+02	3.268033e-12	1.001957e+02	100	0	1
87	0	3	-1.452992e-02	0	0	0	0	0	1	0
