::Queue started at 28-Jan-2013 17:20:09, with machine clock reading 456579.5599.::
::Experiment started at 28-Jan-2013 17:20:09, with machine clock reading 456580.1097.::
::TTL #1 expected (time-based): 0 recorded: 0 ::
=+	913160.2096
::Onset of trial expected: [N/A SELF PACED]  recorded: 99.5634 ::
trial	99.5634
::Onset of return expected: [N/A SELF PACED]  recorded: 100.9806 ::
return	100.9806
::Onset of trial expected: [N/A SELF PACED]  recorded: 101.6985 ::
trial	101.6985
::Onset of return expected: [N/A SELF PACED]  recorded: 103.2476 ::
return	103.2476
::Onset of trial expected: [N/A SELF PACED]  recorded: 104.0976 ::
trial	104.0976
::Onset of return expected: [N/A SELF PACED]  recorded: 105.3313 ::
return	105.3313
::Onset of trial expected: [N/A SELF PACED]  recorded: 106.165 ::
trial	106.1650
::Onset of return expected: [N/A SELF PACED]  recorded: 209.4317 ::
return	209.4317
::Onset of trial expected: [N/A SELF PACED]  recorded: 210.0979 ::
trial	210.0979
LeftControl	210.7474
