::Queue started at 27-Feb-2013 11:40:20, with machine clock reading 2714.2293.::
::Experiment started at 27-Feb-2013 11:40:24, with machine clock reading 2717.992.::
::TTL #1 expected (time-based): 0 recorded: 0 ::
=+	5435.9701
::Onset of trial expected: [N/A SELF PACED]  recorded: 78.1396 ::
trial	78.1396
::Onset of return expected: [N/A SELF PACED]  recorded: 79.7399 ::
return	79.7399
::Onset of trial expected: [N/A SELF PACED]  recorded: 80.7734 ::
trial	80.7734
::Onset of return expected: [N/A SELF PACED]  recorded: 81.6241 ::
return	81.6241
::Onset of trial expected: [N/A SELF PACED]  recorded: 82.3409 ::
trial	82.3409
::Onset of return expected: [N/A SELF PACED]  recorded: 83.3077 ::
return	83.3077
::Onset of trial expected: [N/A SELF PACED]  recorded: 84.0244 ::
trial	84.0244
::Onset of return expected: [N/A SELF PACED]  recorded: 85.3412 ::
return	85.3412
::Onset of trial expected: [N/A SELF PACED]  recorded: 86.3414 ::
trial	86.3414
::Onset of return expected: [N/A SELF PACED]  recorded: 87.3416 ::
return	87.3416
::Onset of trial expected: [N/A SELF PACED]  recorded: 88.1417 ::
trial	88.1417
::Onset of return expected: [N/A SELF PACED]  recorded: 88.9585 ::
return	88.9585
::Onset of trial expected: [N/A SELF PACED]  recorded: 89.6752 ::
trial	89.6752
::Onset of return expected: [N/A SELF PACED]  recorded: 91.0588 ::
return	91.0588
::Onset of trial expected: [N/A SELF PACED]  recorded: 92.4924 ::
trial	92.4924
::Onset of return expected: [N/A SELF PACED]  recorded: 93.5925 ::
return	93.5925
::Onset of trial expected: [N/A SELF PACED]  recorded: 94.3345 ::
trial	94.3345
::Onset of return expected: [N/A SELF PACED]  recorded: 96.1 ::
return	96.1000
::Onset of trial expected: [N/A SELF PACED]  recorded: 96.8332 ::
trial	96.8332
::Onset of return expected: [N/A SELF PACED]  recorded: 97.6829 ::
return	97.6829
::Onset of trial expected: [N/A SELF PACED]  recorded: 98.3992 ::
trial	98.3992
::Onset of return expected: [N/A SELF PACED]  recorded: 100.1487 ::
return	100.1487
::Onset of trial expected: [N/A SELF PACED]  recorded: 100.9984 ::
trial	100.9984
::Onset of return expected: [N/A SELF PACED]  recorded: 102.4812 ::
return	102.4812
::Onset of trial expected: [N/A SELF PACED]  recorded: 103.9641 ::
trial	103.9641
::Onset of return expected: [N/A SELF PACED]  recorded: 105.0308 ::
return	105.0308
::Onset of trial expected: [N/A SELF PACED]  recorded: 105.9966 ::
trial	105.9966
::Onset of return expected: [N/A SELF PACED]  recorded: 107.5967 ::
return	107.5967
::Onset of trial expected: [N/A SELF PACED]  recorded: 108.7624 ::
trial	108.7624
::Onset of return expected: [N/A SELF PACED]  recorded: 109.7122 ::
return	109.7122
::Onset of trial expected: [N/A SELF PACED]  recorded: 110.4958 ::
trial	110.4958
::Onset of return expected: [N/A SELF PACED]  recorded: 111.7448 ::
return	111.7448
::Onset of trial expected: [N/A SELF PACED]  recorded: 112.8449 ::
trial	112.8449
::Onset of return expected: [N/A SELF PACED]  recorded: 115.6626 ::
return	115.6626
::Onset of trial expected: [N/A SELF PACED]  recorded: 116.5627 ::
trial	116.5627
::Onset of return expected: [N/A SELF PACED]  recorded: 117.7129 ::
return	117.7129
::Onset of trial expected: [N/A SELF PACED]  recorded: 118.4297 ::
trial	118.4297
::Onset of return expected: [N/A SELF PACED]  recorded: 119.9299 ::
return	119.9299
::Onset of trial expected: [N/A SELF PACED]  recorded: 121.0467 ::
trial	121.0467
::Onset of return expected: [N/A SELF PACED]  recorded: 121.9801 ::
return	121.9801
::Onset of trial expected: [N/A SELF PACED]  recorded: 122.697 ::
trial	122.6970
::Onset of return expected: [N/A SELF PACED]  recorded: 124.6139 ::
return	124.6139
::Onset of trial expected: [N/A SELF PACED]  recorded: 125.5808 ::
trial	125.5808
::Onset of return expected: [N/A SELF PACED]  recorded: 127.3644 ::
return	127.3644
::Onset of trial expected: [N/A SELF PACED]  recorded: 128.7979 ::
trial	128.7979
::Onset of return expected: [N/A SELF PACED]  recorded: 129.9892 ::
return	129.9892
::Onset of trial expected: [N/A SELF PACED]  recorded: 130.7389 ::
trial	130.7389
::Onset of return expected: [N/A SELF PACED]  recorded: 133.1881 ::
return	133.1881
::Onset of trial expected: [N/A SELF PACED]  recorded: 134.2877 ::
trial	134.2877
::Onset of return expected: [N/A SELF PACED]  recorded: 135.4874 ::
return	135.4874
::Onset of trial expected: [N/A SELF PACED]  recorded: 136.2037 ::
trial	136.2037
::Onset of return expected: [N/A SELF PACED]  recorded: 137.6532 ::
return	137.6532
::Onset of trial expected: [N/A SELF PACED]  recorded: 138.8696 ::
trial	138.8696
::Onset of return expected: [N/A SELF PACED]  recorded: 140.2857 ::
return	140.2857
::Onset of trial expected: [N/A SELF PACED]  recorded: 141.2687 ::
trial	141.2687
::Onset of return expected: [N/A SELF PACED]  recorded: 142.6016 ::
return	142.6016
::Onset of trial expected: [N/A SELF PACED]  recorded: 143.3181 ::
trial	143.3181
::Onset of return expected: [N/A SELF PACED]  recorded: 145.4506 ::
return	145.4506
::Onset of rest expected: [N/A SELF PACED]  recorded: 146.1672 ::
rest	146.1672
::Onset of cue expected: [N/A SELF PACED]  recorded: 158.1857 ::
cue	158.1857
::Onset of trial expected: [N/A SELF PACED]  recorded: 158.7025 ::
trial	158.7025
::Onset of return expected: [N/A SELF PACED]  recorded: 160.2694 ::
return	160.2694
::Onset of trial expected: [N/A SELF PACED]  recorded: 161.2696 ::
trial	161.2696
::Onset of return expected: [N/A SELF PACED]  recorded: 163.3946 ::
return	163.3946
::Onset of trial expected: [N/A SELF PACED]  recorded: 164.7608 ::
trial	164.7608
::Onset of return expected: [N/A SELF PACED]  recorded: 165.9271 ::
return	165.9271
::Onset of trial expected: [N/A SELF PACED]  recorded: 166.6537 ::
trial	166.6537
::Onset of return expected: [N/A SELF PACED]  recorded: 168.0764 ::
return	168.0764
