::Queue started at 07-Feb-2013 17:47:04, with machine clock reading 663396.6848.::
::Experiment started at 07-Feb-2013 17:47:40, with machine clock reading 663432.7314.::
::TTL #1 expected (time-based): 0 recorded: 0 ::
space	1326865.4321
::Onset of cue expected: [N/A SELF PACED]  recorded: 0.023519 ::
cue	0.0235
::Onset of trial expected: [N/A SELF PACED]  recorded: 0.757 ::
trial	0.7570
::Onset of return expected: [N/A SELF PACED]  recorded: 1.0824 ::
return	1.0824
::Onset of trial expected: [N/A SELF PACED]  recorded: 2.974 ::
trial	2.9740
::Onset of return expected: [N/A SELF PACED]  recorded: 3.9074 ::
return	3.9074
::Onset of trial expected: [N/A SELF PACED]  recorded: 4.6312 ::
trial	4.6312
::Onset of return expected: [N/A SELF PACED]  recorded: 5.9974 ::
return	5.9974
::Onset of trial expected: [N/A SELF PACED]  recorded: 6.7139 ::
trial	6.7139
::Onset of return expected: [N/A SELF PACED]  recorded: 8.2134 ::
return	8.2134
::Onset of trial expected: [N/A SELF PACED]  recorded: 9.3629 ::
trial	9.3629
::Onset of return expected: [N/A SELF PACED]  recorded: 10.7292 ::
return	10.7292
::Onset of trial expected: [N/A SELF PACED]  recorded: 11.6622 ::
trial	11.6622
::Onset of return expected: [N/A SELF PACED]  recorded: 12.512 ::
return	12.5120
::Onset of trial expected: [N/A SELF PACED]  recorded: 13.2284 ::
trial	13.2284
::Onset of return expected: [N/A SELF PACED]  recorded: 15.6609 ::
return	15.6609
::Onset of trial expected: [N/A SELF PACED]  recorded: 16.5939 ::
trial	16.5939
::Onset of return expected: [N/A SELF PACED]  recorded: 17.3104 ::
return	17.3104
::Onset of trial expected: [N/A SELF PACED]  recorded: 18.2101 ::
trial	18.2101
::Onset of return expected: [N/A SELF PACED]  recorded: 19.0598 ::
return	19.0598
::Onset of trial expected: [N/A SELF PACED]  recorded: 19.7766 ::
trial	19.7766
::Onset of return expected: [N/A SELF PACED]  recorded: 22.1436 ::
return	22.1436
::Onset of trial expected: [N/A SELF PACED]  recorded: 23.0604 ::
trial	23.0604
::Onset of return expected: [N/A SELF PACED]  recorded: 25.2774 ::
return	25.2774
::Onset of trial expected: [N/A SELF PACED]  recorded: 26.1275 ::
trial	26.1275
::Onset of return expected: [N/A SELF PACED]  recorded: 27.3444 ::
return	27.3444
::Onset of trial expected: [N/A SELF PACED]  recorded: 28.0612 ::
trial	28.0612
::Onset of return expected: [N/A SELF PACED]  recorded: 29.5281 ::
return	29.5281
::Onset of trial expected: [N/A SELF PACED]  recorded: 30.2449 ::
trial	30.2449
::Onset of return expected: [N/A SELF PACED]  recorded: 31.245 ::
return	31.2450
::Onset of trial expected: [N/A SELF PACED]  recorded: 31.9618 ::
trial	31.9618
::Onset of return expected: [N/A SELF PACED]  recorded: 34.3046 ::
return	34.3046
::Onset of trial expected: [N/A SELF PACED]  recorded: 35.2877 ::
trial	35.2877
::Onset of return expected: [N/A SELF PACED]  recorded: 36.5372 ::
return	36.5372
::Onset of trial expected: [N/A SELF PACED]  recorded: 37.5702 ::
trial	37.5702
::Onset of return expected: [N/A SELF PACED]  recorded: 39.1698 ::
return	39.1698
::Onset of trial expected: [N/A SELF PACED]  recorded: 40.286 ::
trial	40.2860
::Onset of return expected: [N/A SELF PACED]  recorded: 41.952 ::
return	41.9520
::Onset of trial expected: [N/A SELF PACED]  recorded: 43.0517 ::
trial	43.0517
::Onset of return expected: [N/A SELF PACED]  recorded: 43.7848 ::
return	43.7848
::Onset of trial expected: [N/A SELF PACED]  recorded: 44.5012 ::
trial	44.5012
::Onset of return expected: [N/A SELF PACED]  recorded: 45.7508 ::
return	45.7508
::Onset of trial expected: [N/A SELF PACED]  recorded: 46.4672 ::
trial	46.4672
::Onset of return expected: [N/A SELF PACED]  recorded: 48.6831 ::
return	48.6831
::Onset of trial expected: [N/A SELF PACED]  recorded: 49.483 ::
trial	49.4830
::Onset of return expected: [N/A SELF PACED]  recorded: 50.3326 ::
return	50.3326
::Onset of trial expected: [N/A SELF PACED]  recorded: 51.0491 ::
trial	51.0491
::Onset of return expected: [N/A SELF PACED]  recorded: 52.032 ::
return	52.0320
::Onset of trial expected: [N/A SELF PACED]  recorded: 52.7485 ::
trial	52.7485
::Onset of return expected: [N/A SELF PACED]  recorded: 54.7653 ::
