::Queue started at 28-Jan-2013 13:58:54, with machine clock reading 445078.3056.::
::Experiment started at 28-Jan-2013 13:58:55, with machine clock reading 445078.9117.::
::TTL #1 expected (time-based): 0 recorded: 0 ::
=+	890157.7901
::Onset of trial expected: [N/A SELF PACED]  recorded: 64.324 ::
trial	64.3240
::Onset of return expected: [N/A SELF PACED]  recorded: 65.0411 ::
return	65.0411
::Onset of trial expected: [N/A SELF PACED]  recorded: 65.6745 ::
trial	65.6745
::Onset of return expected: [N/A SELF PACED]  recorded: 66.3915 ::
return	66.3915
::Onset of trial expected: [N/A SELF PACED]  recorded: 67.1083 ::
trial	67.1083
::Onset of return expected: [N/A SELF PACED]  recorded: 67.8418 ::
return	67.8418
::Onset of trial expected: [N/A SELF PACED]  recorded: 68.4749 ::
trial	68.4749
::Onset of return expected: [N/A SELF PACED]  recorded: 69.1918 ::
return	69.1918
::Onset of trial expected: [N/A SELF PACED]  recorded: 69.8243 ::
trial	69.8243
::Onset of return expected: [N/A SELF PACED]  recorded: 70.5416 ::
return	70.5416
::Onset of trial expected: [N/A SELF PACED]  recorded: 71.1743 ::
trial	71.1743
::Onset of return expected: [N/A SELF PACED]  recorded: 71.8923 ::
return	71.8923
::Onset of trial expected: [N/A SELF PACED]  recorded: 72.5422 ::
trial	72.5422
::Onset of return expected: [N/A SELF PACED]  recorded: 73.2586 ::
return	73.2586
::Onset of trial expected: [N/A SELF PACED]  recorded: 73.9751 ::
trial	73.9751
::Onset of return expected: [N/A SELF PACED]  recorded: 74.6924 ::
return	74.6924
::Onset of trial expected: [N/A SELF PACED]  recorded: 75.3257 ::
trial	75.3257
::Onset of return expected: [N/A SELF PACED]  recorded: 76.043 ::
return	76.0430
::Onset of trial expected: [N/A SELF PACED]  recorded: 76.6757 ::
trial	76.6757
::Onset of return expected: [N/A SELF PACED]  recorded: 77.4089 ::
return	77.4089
::Onset of trial expected: [N/A SELF PACED]  recorded: 78.1258 ::
trial	78.1258
::Onset of return expected: [N/A SELF PACED]  recorded: 78.8434 ::
return	78.8434
::Onset of trial expected: [N/A SELF PACED]  recorded: 79.4762 ::
trial	79.4762
::Onset of return expected: [N/A SELF PACED]  recorded: 80.1938 ::
return	80.1938
::Onset of trial expected: [N/A SELF PACED]  recorded: 80.826 ::
trial	80.8260
::Onset of return expected: [N/A SELF PACED]  recorded: 81.5432 ::
return	81.5432
::Onset of trial expected: [N/A SELF PACED]  recorded: 82.1927 ::
trial	82.1927
::Onset of return expected: [N/A SELF PACED]  recorded: 82.9095 ::
return	82.9095
::Onset of trial expected: [N/A SELF PACED]  recorded: 83.5441 ::
trial	83.5441
::Onset of return expected: [N/A SELF PACED]  recorded: 84.2601 ::
return	84.2601
::Onset of trial expected: [N/A SELF PACED]  recorded: 84.894 ::
trial	84.8940
::Onset of return expected: [N/A SELF PACED]  recorded: 85.6112 ::
return	85.6112
::Onset of trial expected: [N/A SELF PACED]  recorded: 86.26 ::
trial	86.2600
::Onset of return expected: [N/A SELF PACED]  recorded: 86.9769 ::
return	86.9769
::Onset of trial expected: [N/A SELF PACED]  recorded: 88.8948 ::
trial	88.8948
::Onset of return expected: [N/A SELF PACED]  recorded: 89.6611 ::
return	89.6611
::Onset of trial expected: [N/A SELF PACED]  recorded: 90.3775 ::
trial	90.3775
::Onset of return expected: [N/A SELF PACED]  recorded: 91.0943 ::
return	91.0943
::Onset of trial expected: [N/A SELF PACED]  recorded: 91.7283 ::
trial	91.7283
::Onset of return expected: [N/A SELF PACED]  recorded: 92.4449 ::
return	92.4449
::Onset of trial expected: [N/A SELF PACED]  recorded: 93.078 ::
trial	93.0780
::Onset of return expected: [N/A SELF PACED]  recorded: 93.7947 ::
return	93.7947
::Onset of trial expected: [N/A SELF PACED]  recorded: 94.4455 ::
trial	94.4455
::Onset of return expected: [N/A SELF PACED]  recorded: 95.1616 ::
return	95.1616
::Onset of trial expected: [N/A SELF PACED]  recorded: 95.7959 ::
trial	95.7959
