Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Reached Target
351	2	3	4.501442e-01	3.608509e-02	1.570077e+00	1.698888e+02	3.906250e+00	100	1	1
352	2	1	4.170865e-01	-4.727950e-03	1.465445e-01	1.613320e+01	5.205078e-01	100	1	1
353	2	2	4.514641e-01	-5.422424e-02	4.305900e+00	4.202079e+02	5.296875e+00	6.583743e+01	1	1
354	2	4	4.499000e-01	-2.031348e-02	1.307243e+00	1.284379e+02	1.996094e+00	9.019173e+01	1	1
355	2	1	6.007962e-01	1.679662e-02	8.290111e-01	8.144872e+01	1.650391e+00	100	1	1
356	2	3	4.845331e-01	-2.315578e-02	2.007528e+00	2.258449e+02	2.605469e+00	100	1	1
357	2	4	5.015757e-01	6.815587e-02	6.512880e+00	6.359153e+02	7.185547e+00	8.906314e+01	1	1
358	2	2	4.342015e-01	-5.655514e-02	4.199011e+00	4.283442e+02	5.775391e+00	8.800008e+01	1	1
359	2	3	5.181921e-01	1.104847e-01	6.481694e+00	6.847492e+02	1.171973e+01	100	1	1
360	2	1	3.836203e-01	7.388347e-03	7.168246e-01	7.589100e+01	7.822266e-01	100	1	1
361	2	2	4.506502e-01	-1.262617e-02	1.007111e+00	1.039056e+02	1.302734e+00	5.657845e+01	1	1
362	2	4	5.004106e-01	4.441253e-02	3.716771e+00	3.894951e+02	4.657227e+00	100	1	1
363	2	1	5.674041e-01	-2.255753e-02	1.418539e+00	1.364332e+02	2.169922e+00	100	1	1
364	2	3	4.350461e-01	4.573418e-02	2.874146e+00	3.120413e+02	4.968750e+00	100	1	1
365	2	4	6.179976e-01	-7.459823e-02	4.101493e+00	4.144871e+02	7.552734e+00	9.226733e+01	1	1
366	2	2	3.843201e-01	1.224647e-16	7.027873e-15	6.690686e-13	1.165890e-14	100	1	1
367	2	3	5.004639e-01	-8.051520e-03	6.079292e-01	5.824959e+01	7.714844e-01	7.227364e+01	1	1
368	2	1	3.334202e-01	-4.258416e-02	1.314141e+00	1.285150e+02	4.166992e+00	100	1	1
369	2	2	5.013238e-01	-3.932917e-02	2.585885e+00	2.739018e+02	4.167969e+00	8.647570e+01	1	1
370	2	4	4.344357e-01	7.830979e-02	7.261464e+00	7.509659e+02	8.115234e+00	100	1	1
371	2	1	7.675940e-01	5.886100e-02	6.549744e+00	6.381139e+02	7.564453e+00	8.748847e+01	1	1
372	2	3	4.337510e-01	-1.624536e-01	6.261257e+00	6.264559e+02	1.639844e+01	100	0	1
373	2	4	4.839774e-01	-8.033166e-03	4.518695e-01	4.394475e+01	7.812500e-01	100	1	1
374	2	2	3.513187e-01	7.256934e-02	3.637403e+00	3.648557e+02	7.291992e+00	100	1	1
375	2	3	6.016185e-01	9.491094e-02	6.650072e+00	6.314321e+02	1.008105e+01	8.985087e+01	1	1
376	2	1	3.511978e-01	-7.037058e-03	1.173091e-01	1.302338e+01	7.812500e-01	100	1	1
377	2	2	4.341613e-01	1.584806e-02	1.749116e+00	1.916188e+02	2.344727e+00	6.164324e+01	1	1
378	2	4	3.842572e-01	9.915618e-06	3.709093e-01	3.652986e+01	5.214844e-01	7.011631e+01	1	1
379	2	1	4.511845e-01	2.765969e-03	2.927874e+00	2.873748e+02	4.438477e+00	5.382710e+01	1	1
