Event Number	Event Type	Onset
277	return	360.0833396670
278	trial	360.9002192570
279	return	363.8172876480
280	trial	365.2341775410
281	return	368.2089765090
282	trial	369.9752220930
283	return	371.7744036310
284	trial	372.4909070680
285	return	374.5569585820
286	trial	376.3890487470
287	return	378.7048507260
288	trial	379.7045791750
289	return	382.3870475510
290	trial	383.3034431770
291	return	384.8032763950
292	trial	385.7367747290
293	return	387.0709024850
294	trial	387.7876627110
295	return	389.3878795270
296	trial	390.2214425140
297	return	392.3883915320
298	rest	393.8219018580
299	cue	405.8405169250
300	trial	406.3738698460
301	return	407.5124611710
302	trial	408.7786976790
303	return	410.9773490220
304	trial	412.0104551230
305	return	413.5933012070
306	trial	415.0260531310
307	return	417.4418689840
308	trial	418.9087186870
309	return	420.3753843230
310	trial	421.6761448200
311	return	423.4264897600
312	trial	424.6932778900
313	return	428.3771995520
314	trial	430.4442338700
315	return	431.8110855240
316	trial	432.5375540560
317	return	434.2362104970
318	trial	435.5358576450
319	return	436.8687294310
320	trial	437.5851812210
321	return	439.0686066200
322	trial	439.9010533440
323	return	442.0836070680
324	trial	443.1172438000
325	return	444.0829556580
326	trial	444.7994371370
327	return	446.5822171720
328	trial	447.5651803990
329	return	448.9318545810
330	trial	449.7810091230
331	return	452.0476322740
332	trial	453.2805052280
333	return	454.4473569380
334	trial	455.1647019310
335	return	456.6315458940
336	trial	457.6650415960
337	return	458.9486189010
338	trial	459.6820394970
339	return	461.7657150350
340	trial	462.4824782770
341	return	464.8161444180
342	trial	465.9829377070
343	return	466.9998038580
344	trial	467.7332882330
345	return	469.4749384030
346	trial	470.4912552160
347	return	471.7576687050
348	trial	472.4740418690
349	return	473.6902819650
350	trial	474.4066344780
351	return	476.6393439730
352	trial	477.7888284910
353	return	479.8382295750
354	trial	480.7045144860
355	return	482.8538866190
356	trial	483.5702497950
357	return	485.9029058250
358	trial	486.7194644520
359	return	488.2530603310
360	trial	489.0531982460
361	return	490.4034124910
362	trial	491.1201417430
363	return	492.1037081460
364	trial	492.8205149900
365	return	493.6538499850
366	trial	494.3706858120
367	return	495.2542620930
368	trial	495.9710305400
369	return	497.2211174140
370	trial	497.9378818200
371	return	500.4715908340
372	trial	501.3384243440
373	return	502.0718220800
374	trial	502.8053390370
375	return	504.0055102310
376	trial	505.1463245190
377	return	506.4126715900
378	trial	507.1394448360
379	return	508.3286376280
380	trial	509.0450785850
381	return	511.3941844970
382	trial	512.5771207200
383	return	513.6268905540
384	trial	514.3432916410
385	return	515.0596931840
386	trial	515.7095816900
387	return	516.4258493850
388	trial	517.3421246350
389	return	518.0586354100
390	trial	518.7751633040
391	return	521.2081264540
392	trial	522.3416740720
393	return	524.2252911930
394	trial	524.9420446890
395	return	526.7757038460
396	rest	527.4924513460
397	cue	539.5108273290
398	trial	540.0278580910
399	return	542.2006400250
400	trial	543.7661698260
401	return	544.7324466260
402	trial	545.4487906040
403	return	546.5485476970
404	trial	547.3815495150
405	return	549.0143611290
406	trial	550.0641200320
407	return	552.4298809030
408	trial	553.4961473340
409	return	554.4126537360
410	trial	555.1294750300
411	return	557.2969703310
412	trial	558.0137540850
413	return	558.9473033620
414	trial	560.2141026780
415	return	561.3142814240
416	trial	562.0310283540
417	return	563.3979823090
418	trial	564.3981411230
419	return	565.2981415460
420	trial	566.0149262140
421	return	567.0984794670
422	trial	567.8985852030
423	return	568.6487939590
424	trial	569.2915120310
425	return	570.8070070100
426	trial	571.8900352570
427	return	572.6897088810
428	trial	573.4061797400
429	return	575.0722490180
430	rest	576.1218930300
431	cue	588.1517901370
432	trial	588.6685971260
433	return	590.0021076720
434	trial	591.1855469990
435	return	592.1523077690
436	trial	592.7856706370
437	return	594.3193715690
438	trial	595.4529047530
439	return	596.6864687250
440	trial	597.8531971370
441	return	598.8867567540
442	trial	599.6034473240
443	return	602.0039281130
444	trial	603.2374072980
445	return	604.2875770880
446	trial	605.0126768450
447	return	607.5113556710
448	trial	608.2277659220
449	return	609.9439229150
450	trial	610.9934950130
451	return	611.9765114500
452	trial	612.8435025590
453	return	613.8091455910
454	trial	614.7089600570
455	return	616.2917027200
456	trial	617.0753481790
457	return	618.0245401840
458	trial	618.7408900040
459	return	619.7745768380
460	trial	620.4738528810
461	return	621.9398603950
462	trial	622.8571024450
463	return	623.5738827750
464	trial	624.2905555900
465	return	625.1241785110
466	trial	625.9741507930
467	return	626.6910177710
468	trial	627.4078132300
469	return	629.7748327020
470	trial	631.4749736430
471	return	632.6919732700
472	trial	633.5254263330
473	return	635.1924041640
474	trial	636.0424340710
475	return	636.9092296330
476	trial	637.6352215370
477	return	639.1763067280
478	trial	640.4841766370
479	return	641.3338699970
480	trial	642.1502568780
481	return	643.7996128400
482	trial	644.5661153990
483	return	647.2818050580
484	trial	650.1642631340
485	return	652.6467641390
486	trial	653.9630389450
487	return	655.7457409460
488	trial	657.2457086750
489	return	659.1458682990
490	trial	660.5795474930
491	return	661.9630871210
492	trial	662.5965268120
493	return	663.8300678740
494	trial	664.8134791320
495	return	666.6804829640
496	trial	667.3972559850
497	return	669.5474960760
498	trial	670.9978131740
499	return	671.9979877220
500	trial	672.7233000410
501	return	674.0895449550
502	trial	674.8149592090
503	return	676.3721626100
504	trial	677.0886514420
505	return	678.0215286800
506	trial	678.7380015620
507	return	679.8708422980
508	trial	680.5873811150
509	return	681.7202995790
510	trial	682.4700554690
511	return	684.5026391750
512	trial	685.3190929630
513	return	686.0356274800
514	trial	686.6686006430
515	return	687.8348386260
516	trial	688.7679422640
517	return	689.7176014690
518	trial	690.4507356610
519	return	691.7176739510
520	trial	692.4344809170
521	return	693.3511327960
522	trial	694.1179433500
523	return	694.9181345960
524	trial	695.6349505380
525	return	696.9517185660
526	trial	697.6684838180
527	return	698.4353459040
528	rest	699.1521152440
529	cue	711.1706568260
530	trial	711.6873857990
531	return	711.8268239160
532	trial	712.7431990200
533	return	714.3259914340
534	trial	715.5756148500
535	return	716.3920960880
536	trial	717.1084417610
537	return	718.2914193390
538	trial	719.3576803940
539	return	720.1907197230
540	trial	720.9903476420
541	return	722.7231881960
542	trial	723.6062156600
543	return	725.7228829410
544	trial	726.7896645650
545	return	728.1899112900
546	trial	728.9067676100
547	return	729.9402265230
548	trial	730.6568906530
549	return	731.4405802400
550	trial	732.1572218240
551	return	733.1239497510
552	trial	733.9407585260
553	return	735.3743781150
554	trial	736.2078011900
555	return	736.9245898800
556	trial	737.7247239830
557	return	738.7415478950
558	trial	739.4675718830
559	return	740.3083063000
560	trial	741.0252547220
561	return	742.3254545360
562	rest	743.2162418770
