Trial	Type	Onset	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
1	1	0.7992	3	0.9526	0.000000	9.418647e-15	9.872070e-13	1.813244e-14	100.0000	1	1
1	0	1.9309	3	0.2539	0.000000	1.767922e+00	4.301626e+02	4.319985e+00	69.4680	1	0
2	1	2.6323	4	0.6518	-0.145247	1.025772e+01	9.708761e+02	1.384484e+01	100.0000	1	1
2	0	3.4486	4	0.3023	0.000000	3.201938e+00	7.091515e+02	6.349649e+00	50.0000	1	0
3	1	4.1832	1	0.7013	0.000000	3.269329e-15	3.193834e-13	3.307241e+00	0.0000	1	1
3	0	5.0492	1	0.2852	0.000000	5.629914e-15	1.205969e-12	7.134586e-15	54.3943	1	0
4	1	5.7667	2	0.6017	0.066216	1.446069e+01	1.383885e+03	1.907457e+01	53.5664	1	1
4	0	6.5160	2	0.3357	0.000000	4.981466e+00	9.464947e+02	5.822482e+00	75.2538	1	0
5	1	7.2327	3	0.5186	-0.019275	4.459593e-01	4.707443e+01	2.034847e+00	100.0000	1	1
5	0	7.9496	3	0.2690	0.000000	6.445802e+00	1.581386e+03	1.264371e+01	59.0120	1	0
6	1	8.6664	1	0.8849	0.036160	1.423452e+00	1.415032e+02	3.812466e+00	89.4891	1	1
6	0	9.7004	1	0.3851	0.000000	3.327265e+00	8.123879e+02	6.098978e+00	53.2893	1	0
7	1	10.4170	4	0.5022	0.006564	2.104089e-01	2.446208e+01	7.631929e-01	100.0000	1	1
7	0	11.1343	4	0.1680	0.000000	2.827730e+00	7.105237e+02	5.084170e+00	51.6976	1	0
8	1	11.8506	2	0.5519	0.049958	2.311971e+00	2.467243e+02	5.335800e+00	100.0000	1	1
8	0	12.5677	2	0.2517	0.000000	6.644079e+00	1.638290e+03	8.117922e+00	61.8003	1	0
9	1	13.2845	3	0.5176	0.000000	9.899380e-15	9.519678e-13	1.766511e-14	100.0000	1	1
9	0	14.0015	3	0.1509	0.000000	6.531070e+00	1.589476e+03	8.859415e+00	70.5101	1	0
10	1	14.7180	4	0.4348	0.000000	1.564930e-14	1.656192e-12	2.592129e-14	100.0000	1	1
10	0	15.4341	4	-0.0144	0.000000	6.293513e+00	4.827263e+01	6.293513e+00	100.0000	1	0
11	1	16.1517	1	0.5001	0.000000	2.733739e-01	3.008851e+01	5.342466e+00	6.3875	1	1
11	0	16.8843	1	0.0189	0.000000	2.860516e+00	3.317377e+02	3.297499e+00	72.1746	1	0
12	1	17.6021	2	1.1513	-0.026036	1.389261e+01	2.827950e+03	3.870329e+01	22.5486	1	1
12	0	18.9186	2	0.1345	0.000000	4.922769e+00	1.116221e+03	6.857861e+00	53.3201	1	0
13	1	19.6353	1	0.5511	0.069539	4.788894e+00	4.885768e+02	7.605731e+00	89.4591	1	1
13	0	20.3515	1	0.1349	0.000000	3.201526e+00	7.550157e+02	5.590999e+00	51.7260	1	0
14	1	21.0685	3	0.4841	-0.020776	1.329792e+00	1.302186e+02	2.034786e+00	100.0000	1	1
