Event Number	Event Type	Onset
1	cue	0.0163994839
2	trial	0.5495702190
3	return	1.7658211050
4	trial	2.4988809980
5	return	3.2154485830
6	trial	3.8488943770
7	return	4.5823844930
8	trial	5.2990860000
9	return	6.2325358089
10	trial	6.9494292239
11	return	7.6995364670
12	trial	8.4162636800
13	return	9.1329560400
14	trial	9.8664210120
15	return	11.2166350520
16	trial	12.0501683550
17	return	12.7669365349
18	trial	13.5836940049
19	return	14.5339204950
20	trial	15.4506371559
21	return	16.1674575229
22	trial	16.8937392309
23	return	17.8176634409
24	trial	18.5345318300
25	return	19.2512090750
26	trial	19.9680647589
27	return	20.9682204929
28	trial	21.6924426249
29	return	22.4755222530
30	trial	23.1918986379
31	return	23.9186196049
32	trial	24.6354752360
33	return	25.3522135670
34	rest	26.0742507699
35	cue	38.1041462140
36	trial	38.6208313380
37	return	39.4210177199
38	trial	40.1378084669
39	return	40.8544945710
40	trial	41.5713496900
41	return	42.2881144499
42	trial	43.0215928879
43	return	43.9717281950
44	trial	44.6885196340
45	return	45.4052398399
46	trial	46.1220349260
47	return	46.8505645629
48	trial	47.5670375710
49	return	48.5724395310
50	trial	49.3225563869
51	return	50.0726431350
52	trial	50.7893765699
53	return	51.5157079380
54	trial	52.4729617289
55	return	53.4897962710
56	trial	54.2147487160
57	return	54.9478747189
58	trial	55.6642464940
59	return	56.6472787659
60	trial	57.4303622759
61	return	58.1468148410
62	trial	58.9465926229
63	return	59.6629603800
64	trial	60.3074793300
65	return	61.4123480279
66	trial	62.1287169999
67	return	63.0285161010
68	trial	63.9448940470
69	return	64.8778275950
70	trial	65.5943443410
71	return	66.3107302849
72	trial	67.1105324059
73	return	68.0935339020
74	trial	68.8098513039
75	return	70.7092970610
76	trial	71.4593106899
77	return	72.1760838999
78	trial	72.8928701320
79	return	73.6095747099
80	trial	74.3264782679
81	return	75.2097915210
82	trial	75.9266082949
83	return	76.6433935049
84	trial	77.3602230039
85	return	78.0936361769
86	trial	78.8103454140
87	return	79.6605301000
88	trial	80.4273254930
89	return	81.4941530080
90	trial	82.4608623569
91	return	83.4777358520
92	trial	84.3946195629
93	return	85.1113838210
94	trial	85.7541161650
95	return	86.5282930749
96	trial	87.1616972520
97	return	88.2118290439
98	trial	88.9364521659
99	return	89.7695518259
100	trial	90.4954943999
101	return	91.3022551800
102	trial	92.0020351029
103	return	92.8516763570
104	trial	93.5682743830
105	return	94.2959840460
106	trial	95.0128210089
107	return	95.9341434770
108	trial	96.7671231839
109	return	97.4836028030
110	trial	98.1999397050
111	return	98.9330361630
112	trial	99.6494886009
113	return	100.5326054889
114	trial	101.2489184589
115	return	101.9820962040
116	trial	102.6984254899
117	return	103.4482382579
118	trial	104.1646261399
119	return	105.8311517700
120	trial	106.5479885129
121	return	107.2980642220
122	trial	108.0148620340
123	return	108.7649814530
124	trial	109.4816864929
125	return	110.1984241769
126	trial	110.9152998639
127	return	111.7820862130
128	trial	112.5989077409
129	return	113.4989761369
130	trial	114.3491275019
131	return	115.0658623510
132	rest	115.7940607950
133	cue	127.8233801769
134	trial	128.3564279269
135	return	129.3062254699
136	trial	130.0225958199
137	return	130.7390194390
138	trial	131.3888266979
139	return	132.1218732080
140	trial	132.8383601999
141	return	133.6214667299
142	trial	134.3378783149
143	return	135.0875620180
144	trial	135.8706424780
145	return	136.6704901779
146	trial	137.3035185280
147	return	138.0199175429
148	trial	138.9695532760
149	return	139.9530720740
150	trial	140.6698642879
151	return	141.3866988850
152	trial	142.1033485240
153	return	143.1868894900
154	trial	143.9036458769
155	return	144.6205201750
156	trial	145.2706042699
157	return	145.9873664400
158	trial	146.7041982630
159	return	147.5209253880
160	trial	148.2376774569
161	return	148.9543772830
162	trial	149.6826266940
163	return	150.3990955709
164	trial	151.1154869630
165	return	151.8382415120
166	rest	152.4716958510
167	cue	164.4942810480
168	trial	165.0274267279
169	return	166.1104599329
170	trial	166.8269147220
171	return	167.5599834450
172	trial	168.2764454259
173	return	168.9927379759
174	trial	169.7092059240
175	return	170.5756120100
176	trial	171.3753643050
177	return	172.2417063039
178	trial	173.2581763139
179	return	174.1082590619
180	trial	174.8251654849
181	return	175.7085688390
182	trial	176.5421063449
183	return	177.5422206470
184	trial	178.2589855819
185	return	179.0423873990
186	trial	179.7592328140
187	return	180.9761069199
188	trial	181.6927770219
189	return	183.1264077709
190	trial	183.8431464520
191	return	187.1269622509
192	trial	188.0603973200
193	return	188.9938905280
194	trial	189.7191657489
195	return	190.4355963649
196	trial	191.1608999900
197	return	192.1184132670
198	trial	192.9014072960
199	return	193.6345034570
200	trial	194.3509108870
201	return	195.0782597980
202	trial	195.7949017660
203	return	196.9501101930
204	trial	197.6665490300
205	return	198.3829642859
206	trial	199.0993506319
207	return	199.9657035900
208	trial	200.6822073200
209	return	201.6652111609
210	trial	202.2982879840
211	return	203.0146567540
212	trial	203.7478130769
213	return	205.6472528150
214	trial	206.4968569200
215	return	207.2467112930
216	trial	208.2801930290
217	return	208.9969611240
218	trial	210.1970795350
219	return	211.0472423979
220	trial	211.7639984679
221	return	212.6641601840
222	trial	213.3809987520
223	return	215.2145710379
224	trial	216.0980148850
225	return	216.8148824479
226	trial	217.5317651499
227	return	218.2595846460
228	trial	218.9761132270
229	return	219.9987019290
230	trial	220.7155103399
231	return	221.8656475820
232	trial	223.2657772120
233	return	223.9910813819
234	trial	224.7074254060
235	return	225.6070735500
236	trial	226.3401800110
237	return	227.5064186159
238	trial	228.2228503020
239	return	229.1726221089
240	trial	229.9389835079
241	return	231.8384294839
242	trial	232.5548106120
