Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Reached Target
1	1	3	1.017179e+00	2.784091e-02	2.049367e+00	2.023750e+02	2.750000e+00	100	1	1
2	1	4	6.174747e-01	-3.511305e-01	1.598262e+01	1.494375e+03	3.425000e+01	100	0	1
3	1	1	7.505310e-01	1.231116e-01	4.999369e+00	4.949375e+02	1.225000e+01	100	1	1
4	1	2	7.506594e-01	1.224647e-16	6.229092e-15	6.057792e-13	1.190969e-14	100	1	1
5	1	3	8.005171e-01	-3.139035e+00	2.500000e-01	2.455957e+01	2.500000e-01	100	0	1
6	1	1	1.017125e+00	6.123234e-17	3.165298e-15	3.101992e-13	6.000769e-15	100	1	1
7	1	4	6.336999e-01	2.449294e-16	1.283324e-14	1.260866e-12	2.406431e-14	100	1	1
8	1	2	6.671056e-01	1.224647e-16	6.305455e-15	6.210873e-13	1.206277e-14	100	1	1
9	1	3	-1.950343e+05	1.836970e-16	4.815880e-15	4.213895e-13	1.166476e-14	100	1	0
10	1	4	7.172267e-01	-2.323667e-01	1.055407e+01	1.036937e+03	2.325000e+01	100	0	1
11	1	1	9.005666e-01	3.139035e+00	2.500000e-01	2.506250e+01	2.500000e-01	1.745636e+00	0	1
12	1	2	7.006111e-01	6.007138e-01	2.571296e+01	2.082750e+03	5.550000e+01	100	0	1
13	1	1	1.067478e+00	-1.017777e-02	1.000000e+00	9.825000e+01	1	2.544529e-01	1	1
14	1	3	9.179209e-01	1.836970e-16	9.541781e-15	9.422509e-13	1.814008e-14	100	1	1
15	1	2	8.339578e-01	5.194758e-03	5.000000e-01	4.812500e+01	5.000000e-01	100	1	1
16	1	4	6.675341e-01	2.449294e-16	1.279962e-14	1.238363e-12	2.369692e-14	100	1	1
17	2	2	9.672731e-01	-1.030891e-02	1.000000e+00	9.700000e+01	1.000000e+00	1.288660e+00	1	1
18	2	4	5.833383e-01	2.449294e-16	1.253111e-14	1.212385e-12	2.369692e-14	100	1	1
19	2	1	7.339673e-01	6.123234e-17	3.104033e-15	2.979872e-13	5.878305e-15	100	1	1
20	2	3	8.338561e-01	1.836970e-16	9.390864e-15	9.179570e-13	1.795638e-14	100	1	1
21	2	4	7.004316e-01	-2.610960e-03	2.500000e-01	2.393750e+01	2.500000e-01	2.610966e-01	1	1
22	2	2	6.173078e-01	7.557381e-02	5.014360e+00	4.801250e+02	7.250000e+00	9.530026e+01	1	1
23	2	3	-1.950022e+05	2.499479e-02	1.494048e+00	2.510000e+02	2.250000e+00	9.732143e+01	1	0
24	2	1	7.505474e-01	6.123234e-17	3.097309e-15	2.965674e-13	5.862997e-15	100	1	1
25	2	2	7.671818e-01	1.224647e-16	6.306309e-15	6.211715e-13	1.206277e-14	100	1	1
26	2	4	5.337906e-01	2.449294e-16	1.259160e-14	1.211941e-12	2.357445e-14	100	1	1
27	2	1	6.339042e-01	-7.499859e-03	7.500000e-01	7.500000e+01	7.500000e-01	2.500000e-01	1	1
28	2	3	6.677344e-01	-2.073653e-01	5.853247e+00	5.633750e+02	2.025000e+01	100	0	1
29	2	4	5.507074e-01	2.449294e-16	1.259875e-14	1.225229e-12	2.381938e-14	100	1	1
30	2	2	6.180140e-01	1.224647e-16	6.164242e-15	5.902262e-13	1.172599e-14	100	1	1
31	2	3	-1.949910e+05	-7.201315e-01	1.704715e+01	3.660875e+03	3.600000e+01	9.580908e+01	0	0
32	2	1	6.174950e-01	6.123234e-17	3.185961e-15	3.114277e-13	5.985461e-15	100	1	1
33	2	2	7.342615e-01	1.224647e-16	6.239241e-15	5.989671e-13	1.175661e-14	100	1	1
34	2	4	5.173211e-01	2.449294e-16	1.273947e-14	1.242098e-12	2.388061e-14	100	1	1
35	2	1	6.340900e-01	-5.221885e-03	5.000000e-01	4.787500e+01	5.000000e-01	2.610966e-01	1	1
36	2	3	6.175315e-01	1.836970e-16	9.670287e-15	9.621935e-13	1.827785e-14	100	1	1
37	2	4	5.340779e-01	1.158806e-01	4.798942e+00	4.535000e+02	1.100000e+01	100	1	1
38	2	2	6.174338e-01	1.224647e-16	6.271580e-15	6.083433e-13	1.187907e-14	100	1	1
39	2	3	1.000870e+00	-4.625689e-01	2.171226e+01	2.013812e+03	4.625000e+01	100	0	1
40	2	1	5.673357e-01	6.123234e-17	3.214313e-15	3.198242e-13	6.092618e-15	100	1	1
41	2	2	7.174141e-01	-5.167913e-03	5.000000e-01	4.837500e+01	5.000000e-01	2.583979e-01	1	1
42	2	4	5.836813e-01	2.449294e-16	1.292095e-14	1.275944e-12	2.418677e-14	100	1	1
43	2	1	9.005267e-01	-3.133841e+00	7.500000e-01	8.756250e+01	7.500000e-01	100	0	1
44	2	3	7.341881e-01	1.836970e-16	9.373376e-15	9.139042e-13	1.791046e-14	100	1	1
45	2	4	6.671810e-01	-1.515036e-02	1.500000e+00	1.485000e+02	1.500000e+00	2.525253e-01	1	1
46	2	2	7.002924e-01	1.224647e-16	6.246955e-15	6.090781e-13	1.194031e-14	100	1	1
47	2	3	-1.949686e+05	-1.606288e-02	1.000000e+00	1.992500e+02	1.000000e+00	3.538269e+01	1	0
48	2	1	6.503731e-01	6.123234e-17	3.108697e-15	2.984349e-13	5.878305e-15	100	1	1
49	2	2	6.170963e-01	1.224647e-16	6.308951e-15	6.214317e-13	1.206277e-14	100	1	1
50	2	4	5.170002e-01	2.449294e-16	1.313997e-14	1.320567e-12	2.461540e-14	100	1	1
51	2	1	9.338154e-01	6.123234e-17	3.297050e-15	3.321778e-13	6.169158e-15	100	1	1
52	2	3	6.675503e-01	1.836970e-16	9.595414e-15	9.595414e-13	1.836970e-14	100	1	1
53	2	4	6.506588e-01	-5.235554e-03	5.000000e-01	4.775000e+01	5.000000e-01	2.617801e-01	1	1
54	2	2	7.173840e-01	1.224647e-16	6.341490e-15	6.278075e-13	1.212400e-14	100	1	1
55	2	3	1.100810e+00	-2.139520e-01	8.172278e+00	1.426062e+03	2.075000e+01	9.197708e+01	0	1
56	2	1	6.173693e-01	6.123234e-17	3.248076e-15	3.239956e-13	6.107926e-15	100	1	1
57	2	2	6.341152e-01	1.224647e-16	6.252458e-15	6.017991e-13	1.178723e-14	100	1	1
58	2	4	5.673427e-01	-3.523448e-01	1.566086e+01	1.405562e+03	3.300000e+01	100	0	1
59	2	1	6.675188e-01	6.123234e-17	3.249294e-15	3.249294e-13	6.123234e-15	100	1	1
60	2	3	6.005929e-01	1.836970e-16	9.839810e-15	9.962808e-13	1.859932e-14	100	1	1
61	2	4	5.840022e-01	-2.590668e-03	2.500000e-01	2.412500e+01	2.500000e-01	2.590674e-01	1	1
62	2	2	6.341084e-01	1.224647e-16	6.208704e-15	5.960356e-13	1.175661e-14	100	1	1
63	2	3	1.117626e+00	-1.123455e-01	3.469231e+00	3.382500e+02	1.100000e+01	100	1	1
64	2	1	5.340752e-01	6.123234e-17	3.149488e-15	2.999887e-13	5.832380e-15	100	1	1
