Trial	Type	Onset	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
1	1	0.7737	3	1.0949	0.713991	2.852717e+01	3.409205e+03	6.364014e+01	100.0000	0	1
1	0	2.5838	3	0.9017	0.000000	6.340608e+01	8.648362e+03	7.908359e+01	76.4073	1	0
2	1	3.6395	1	0.6845	0.366844	2.013395e+01	2.127108e+03	3.704628e+01	100.0000	0	1
2	0	4.4725	1	0.4680	0.000000	4.460036e+01	9.922495e+03	6.858871e+01	42.9016	1	0
3	1	5.5715	2	0.5012	0.037416	5.270502e+00	6.389071e+02	7.101957e+00	97.0998	1	1
3	0	6.2880	2	0.4010	0.000000	9.598412e+00	1.681181e+03	1.282763e+01	61.8811	1	0
4	1	7.0044	4	0.7680	-0.100722	5.848603e+00	5.982980e+02	9.618323e+00	100.0000	1	1
4	0	7.9048	4	0.8335	0.000000	1.233707e+01	2.594068e+03	3.203865e+01	99.5136	1	0
5	1	9.2369	4	0.7345	0.109190	3.030946e+00	2.930983e+02	1.112071e+01	2.8111	1	1
5	0	10.1040	4	0.6342	0.000000	7.583178e+00	1.554564e+03	2.184175e+01	78.1342	1	0
6	1	10.8704	2	0.5841	0.177264	1.021644e+01	1.030185e+03	1.677791e+01	100.0000	0	1
6	0	11.6029	2	0.5013	0.000000	1.205462e+01	2.088272e+03	1.942764e+01	53.9167	1	0
7	1	12.2526	3	1.3680	-0.039979	9.744916e+00	9.809180e+02	2.548960e+01	85.4717	1	1
7	0	13.7528	3	0.5668	0.000000	9.635205e+00	1.975553e+03	2.063750e+01	93.7582	1	0
8	1	14.8189	1	0.5679	0.039792	2.423832e+00	3.317853e+02	8.229800e+00	8.2668	0	1
8	0	15.5354	1	0.3677	0.000000	1.990103e+01	4.542223e+03	2.722334e+01	50.0954	1	0
9	1	16.1687	2	0.5682	0.238678	2.735939e+01	2.529634e+03	3.640999e+01	4.3755	0	1
9	0	16.8854	2	0.6015	0.000000	1.967069e+01	3.543157e+03	2.249440e+01	51.3256	1	0
10	1	17.6357	3	0.8519	-0.092818	4.991014e+00	5.485616e+02	1.129967e+01	19.9992	1	1
10	0	18.6364	3	0.7011	0.000000	1.355671e+01	2.757280e+03	4.177348e+01	91.1121	1	0
11	1	19.4698	4	0.7346	-0.101257	5.534306e+00	6.202343e+02	1.083437e+01	15.5455	1	1
11	0	20.3365	4	0.5512	0.000000	5.823445e+00	1.138784e+03	8.873206e+00	54.4356	1	0
12	1	21.5701	1	0.7513	0.232938	1.304957e+01	2.491835e+03	2.302050e+01	100.0000	0	1
12	0	22.4703	1	0.3844	0.000000	2.169020e+01	4.843035e+03	2.530711e+01	66.7800	1	0
13	1	23.3870	2	0.4178	-0.135528	6.221555e+00	6.598786e+02	1.285559e+01	100.0000	0	1
13	0	24.1038	2	0.3845	0.000000	1.228317e+01	2.196143e+03	2.296738e+01	54.8821	1	0
14	1	24.7540	1	0.4845	0.111458	5.828396e+00	7.115241e+02	1.162993e+01	100.0000	1	1
14	0	25.4707	1	0.4344	0.000000	5.697598e+00	1.273228e+03	7.110185e+00	52.3853	1	0
15	1	26.1875	3	0.8679	0.069407	6.690412e+00	6.372891e+02	2.406730e+01	82.0002	1	1
15	0	27.2042	3	0.8184	0.000000	9.383716e+00	1.767379e+03	2.154846e+01	81.0716	1	0
16	1	28.1545	4	0.5346	0.050090	1.512165e+01	1.649225e+03	2.161828e+01	12.1715	1	1
16	0	28.8810	4	0.4347	0.000000	4.781649e+00	9.671423e+02	5.082304e+00	52.7676	1	0
17	1	29.5973	4	0.5837	-0.087542	6.725023e+00	6.525252e+02	8.363155e+00	100.0000	1	1
17	0	30.3298	4	0.5013	0.000000	6.148877e+00	1.185116e+03	8.349896e+00	68.5370	1	0
18	1	31.0542	3	0.9852	-0.034745	3.543648e+00	3.512705e+02	6.585874e+00	5.9970	1	1
18	0	32.1798	3	0.6012	0.000000	7.882393e+00	1.537519e+03	3.122561e+01	98.3405	1	0
19	1	32.9296	1	0.5336	-0.153572	8.687563e+00	1.035508e+03	1.583877e+01	100.0000	1	1
19	0	33.6454	1	0.3342	0.000000	1.364972e+01	2.962319e+03	1.736043e+01	53.4447	1	0
20	1	34.6955	2	0.4182	-0.143394	6.654576e+00	6.326235e+02	1.359677e+01	100.0000	0	1
