Trial	Type	Onset	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
1	1	0.7684	3	2.0395	-0.002674	5.400602e+00	1.229583e+03	1.372563e+01	73.4890	1	1
1	0	3.1559	3	0.9011	0.000000	1.824297e+00	3.547504e+02	6.524309e+00	95.5177	1	0
2	1	4.5555	1	0.7180	0.080029	2.982692e+00	3.660815e+02	8.114844e+00	100.0000	1	1
2	0	5.4218	1	0.4345	0.000000	7.283523e+00	1.617586e+03	1.038862e+01	52.0251	1	0
3	1	6.3216	2	0.4178	-0.448649	2.555505e+01	2.439657e+03	4.446982e+01	100.0000	0	1
3	0	7.0380	2	0.3677	0.000000	2.041172e+01	3.574789e+03	4.808598e+01	53.6860	1	0
4	1	7.6711	4	1.5672	0.037416	1.825435e+01	2.628631e+03	3.835019e+01	66.2341	1	1
4	0	9.3706	4	0.6677	0.000000	1.285567e+01	2.608843e+03	3.392300e+01	82.9440	1	0
5	1	10.1702	4	1.1509	-0.049697	1.411379e+01	1.418822e+03	2.856513e+01	82.8479	1	1
5	0	11.4533	4	0.6183	0.000000	1.275879e+01	2.488792e+03	3.165002e+01	80.0506	1	0
6	1	12.2201	2	0.5346	-0.179853	1.148971e+01	1.228534e+03	1.752097e+01	100.0000	1	1
6	0	12.9368	2	0.3680	0.000000	7.708553e+00	1.445117e+03	1.012709e+01	54.8303	1	0
7	1	13.6535	3	1.2513	0.010666	2.534248e+00	2.813004e+02	7.240440e+00	4.9008	1	1
7	0	15.0372	3	0.6677	0.000000	5.628484e+00	1.032469e+03	2.028344e+01	78.2549	1	0
8	1	15.8373	1	0.4511	0.147636	1.025685e+01	1.014945e+03	1.459487e+01	100.0000	1	1
8	0	16.5541	1	0.3678	0.000000	2.581458e+00	5.627299e+02	6.592620e+00	69.3108	1	0
9	1	17.2708	2	0.4178	-0.082261	8.515826e+00	8.398153e+02	2.481025e+01	11.8809	1	1
9	0	17.9877	2	0.3512	0.000000	8.533451e+00	1.615106e+03	1.564444e+01	70.8800	1	0
10	1	18.7210	3	1.0180	0.029325	4.813958e+00	5.123020e+02	8.047999e+00	59.1458	1	1
10	0	19.8712	3	0.6178	0.000000	8.904815e+00	1.587082e+03	2.299397e+01	75.0386	1	0
11	1	20.6213	4	1.2513	0.015665	4.817471e+00	4.819465e+02	1.009945e+01	82.4204	1	1
11	0	22.0049	4	0.3512	0.000000	9.496221e+00	1.828832e+03	2.000772e+01	87.5364	1	0
12	1	22.7217	1	0.4846	0.216550	1.529407e+01	1.841810e+03	2.223738e+01	92.7711	1	1
12	0	23.4491	1	0.3679	0.000000	6.063290e+00	1.362256e+03	2.172717e+01	53.1879	1	0
13	1	24.1655	2	0.4513	-0.121416	1.011569e+01	9.804691e+02	1.500117e+01	0.5246	1	1
13	0	24.8820	2	0.4009	0.000000	9.844447e+00	1.708438e+03	1.396605e+01	77.8517	1	0
14	1	25.6056	1	0.6677	0.075423	5.960341e+00	6.181242e+02	8.038656e+00	51.3343	1	1
14	0	26.4057	1	0.3177	0.000000	7.576842e+00	1.630753e+03	7.859109e+00	63.6451	1	0
15	1	27.1312	3	1.2675	-0.002667	2.218403e+00	2.124409e+02	2.795036e+00	59.5083	1	1
15	0	28.5307	3	0.6345	0.000000	2.645949e+00	4.795821e+02	7.845543e+00	68.0721	1	0
16	1	29.3138	4	0.7175	-0.069039	8.721662e+00	8.899949e+02	1.180703e+01	78.8611	1	1
16	0	30.1636	4	0.3846	0.000000	8.285668e+00	1.522288e+03	2.629421e+01	97.9062	1	0
17	1	30.8799	4	1.1344	0.037217	9.937673e+00	1.208021e+03	1.719081e+01	88.6245	1	1
17	0	32.1461	4	0.5514	0.000000	3.561854e+00	6.622508e+02	9.589149e+00	68.8260	1	0
18	1	32.8732	3	1.3846	0.008000	7.105635e+00	7.104386e+02	1.557664e+01	67.8011	1	1
18	0	34.3955	3	0.6345	0.000000	2.356928e+00	4.165735e+02	5.139521e+00	100.0000	1	0
19	1	35.1785	1	0.5013	0.002551	2.797629e+00	2.804210e+02	5.295306e+00	40.0042	1	1
19	0	35.8951	1	0.3342	0.000000	2.403642e+00	5.259376e+02	3.813947e+00	52.5240	1	0
20	1	36.6113	2	0.4342	0.352620	2.972115e+01	2.690541e+03	3.410180e+01	78.7157	0	1
20	0	37.3445	2	0.4014	0.000000	9.351872e+00	1.777919e+03	3.812482e+01	58.5173	1	0
21	1	37.9774	4	1.1338	-0.045423	8.664656e+00	8.679696e+02	1.392955e+01	69.3862	1	1
21	0	39.2599	4	0.4346	0.000000	8.839343e+00	1.612134e+03	1.898398e+01	83.8830	1	0
22	1	39.9763	2	0.6175	-0.005263	2.162657e+00	2.497753e+02	4.062523e+00	16.0721	1	1
