Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
1	1	3	1.152106e+00	1.174114e-02	1.043296e+00	1.043224e+02	1.760826e+00	8.002528e+01	1	1
1	0	3	2.858942e-01	0	4.974533e-01	9.948589e+01	1.174087e+00	5.000105e+01	1	0
2	1	4	4.842904e-01	-7.033389e-02	4.358453e+00	4.347677e+02	7.027592e+00	100	1	1
2	0	4	3.519931e-02	0	6.660407e+00	6.085930e+02	7.532467e+00	5.051779e+01	1	0
3	1	1	4.518123e-01	-7.602507e-02	4.103244e+00	4.099398e+02	7.610049e+00	100	1	1
3	0	1	1.007646e-01	0	8.674775e+00	1.531184e+03	9.842880e+00	6.756288e+01	1	0
4	1	2	4.513293e-01	1.411197e-02	3.025163e-01	2.936069e+01	1.369727e+00	100	1	1
4	0	2	5.207641e-02	0	8.938331e-01	1.388694e+02	1.174034e+00	50	1	0
5	1	3	3.685668e-01	1.836970e-16	1.147797e-14	1.143304e-12	1.829780e-14	1.000000e+02	1	1
5	0	3	-1.595202e-02	0	0	0	0	0	1	0
6	1	1	4.186353e-01	6.123234e-17	3.687862e-15	3.666211e-13	6.087285e-15	100	1	1
6	0	1	-1.491604e-02	0	0	0	0	0	1	0
7	1	4	3.516510e-01	-1.915017e-01	1.000348e+01	9.417026e+02	1.825115e+01	100	0	1
7	0	4	-1.546761e-02	0	0	0	0	0	1	0
8	1	2	1.168094e+00	2.685763e-16	1.221482e-14	3.473215e-12	2.612180e-14	100	1	1
8	0	2	2.184853e-01	0	1.909627e-14	3.778146e-12	2.648129e-14	5.064293e+01	1	0
9	1	3	8.022520e-01	2.963802e+00	6.054364e+00	5.970590e+02	1.772012e+01	100	0	1
9	0	3	6.499390e-01	0	4.735749e+01	7.002847e+03	7.077977e+01	4.795923e+01	1	0
10	1	4	1.028305e-01	2.260131e+00	5.355420e+01	3.412842e+03	7.731793e+01	100	0	1
10	0	4	2.065515e+01	0	7.391984e+01	1.738241e+05	1.001957e+02	6.025806e+00	1	0
11	1	1	1.284915e+00	-3.141593e+00	3.551569e-15	3.530718e-13	6.087285e-15	100	0	1
11	0	1	4.513950e-01	0	4.514056e-15	8.860271e-13	6.123234e-15	5.094716e+01	1	0
12	1	2	6.007967e-01	-1.872341e-01	6.777721e+00	6.672297e+02	1.865063e+01	100	0	1
12	0	2	3.683301e-01	0	1.043284e+01	2.057696e+03	1.902145e+01	4.987694e+01	1	0
13	1	1	4.505652e-01	3.757831e-01	4.595673e+01	4.283356e+03	6.315183e+01	3.443977e+01	0	1
13	0	1	9.520398e-01	0	2.927910e+01	3.992538e+03	7.622578e+01	8.302974e+01	1	0
14	1	3	8.487196e-02	1.775402e+00	5.769443e+01	1.160774e+03	9.695605e+01	100	0	1
14	0	3	-1.438637e-02	0	0	0	0	0	1	0
15	1	2	5.093702e-02	-2.543720e+00	3.275435e+01	2.707263e+03	5.628850e+01	1.000000e+02	0	1
15	0	2	-1.457329e-02	0	0	0	0	0	1	0
16	1	4	-1.603858e-02	9.223139e-01	7.985610e+01	4.832568e+03	7.985610e+01	100	0	1
16	0	4	9.786362e+00	0	7.402319e+01	8.023687e+04	1.001957e+02	4.894732e+01	1	0
17	3	2	1.450863e+00	3.021931e-01	1.298011e+01	1.261190e+03	2.830543e+01	100	0	1
17	0	2	1.354175e-01	0	2.428362e+01	4.623564e+03	3.392937e+01	5.179306e+01	1	0
18	3	3	4.847658e-01	3.561914e-01	2.366380e+01	2.152744e+03	3.384712e+01	100	0	1
18	0	3	-1.446338e-02	0	0	0	0	0	1	0
19	3	4	9.349563e-01	4.933786e-01	2.389123e+01	2.026824e+03	4.532143e+01	100	0	1
19	0	4	3.180982e-01	0	2.963903e+01	4.948351e+03	4.556609e+01	5.093564e+01	1	0
20	3	1	3.385337e+00	-3.064342e-03	6.086852e+00	6.174855e+02	1.894486e+01	2.744375e+01	1	1
20	0	1	9.840232e-01	0	1.520186e+00	2.993731e+02	1.075700e+01	9.531396e+01	1	0
21	3	4	1.901432e+00	-1.037307e-02	8.207092e+00	8.146636e+02	2.057552e+01	2.931532e+01	1	1
21	0	4	9.515071e-01	0	6.056779e+00	1.190247e+03	2.790032e+01	5.581818e+01	1	0
22	3	3	1.752148e+00	3.095965e-03	1.055074e+01	1.086823e+03	2.655621e+01	3.229671e+01	1	1
22	0	3	8.358765e-01	0	3.829418e+00	7.616209e+02	1.342257e+01	9.400758e+01	1	0
23	3	1	9.185822e-01	0	1.758820e+00	1.709452e+02	4.947803e+00	6.536837e+01	1	1
23	0	1	4.349827e-01	0	1.231676e+00	2.468172e+02	6.547431e+00	9.007474e+01	1	0
24	3	2	4.849312e-01	4.760510e-01	2.614551e+01	2.384418e+03	4.573760e+01	100	0	1
24	0	2	6.024617e-01	0	2.473451e+01	4.954802e+03	3.779091e+01	6.247210e+01	1	0
25	3	4	2.002620e+00	-2.315376e-02	6.264605e+00	7.749692e+02	2.419730e+01	5.221599e+01	1	1
25	0	4	7.510009e-01	0	4.553401e+00	8.910097e+02	2.124732e+01	7.645820e+01	1	0
26	3	2	1.584120e+00	3.562434e-02	5.050405e+00	5.330685e+02	1.462448e+01	5.468836e+01	1	1
26	0	2	3.522826e-01	0	4.025289e+00	8.063597e+02	8.872997e+00	6.560429e+01	1	0
27	3	1	2.062097e+01	1.800615e-01	1.221394e+01	6.364303e+03	6.241609e+01	7.240905e+01	1	1
27	0	1	2.849071e-01	0	1.273348e+01	2.533872e+03	1.893834e+01	8.637481e+01	1	0
