Event Number	Event Type	Onset
391	return	388.7102621680
392	trial	389.8432651570
393	return	391.0096440010
394	trial	391.7264138310
395	return	392.7264983630
396	rest	393.4431682650
397	cue	405.4617736750
398	trial	405.9785618410
399	return	407.9205148540
400	trial	408.7956829630
401	return	409.6123973020
402	trial	410.3363230720
403	return	411.1692211770
404	trial	411.8857802200
405	return	412.6189018100
406	trial	413.3352519280
407	return	414.1850444320
408	trial	414.9014967520
409	return	415.6679732090
410	trial	416.3010568140
411	return	417.1007397520
412	trial	417.8172132170
413	return	418.8000552410
414	trial	419.5165371110
415	return	420.4162493490
416	trial	421.1327601940
417	return	422.1323378520
418	trial	422.7653901260
419	return	423.6984546930
420	trial	424.4148411390
421	return	425.2647977770
422	trial	425.9983747820
423	return	426.8317362580
424	trial	427.9818903990
425	return	429.0487647150
426	trial	429.9822514470
427	return	430.7824246880
428	trial	431.4991007100
429	return	432.4492785050
430	rest	433.1660086980
431	cue	445.1845641640
432	trial	445.7012986460
433	return	447.7570800010
434	trial	448.4901270830
435	return	449.2066783060
436	trial	449.9352979480
437	return	451.0559664040
438	trial	451.7724317120
439	return	453.5550604420
440	trial	454.2715191020
441	return	455.0213592130
442	trial	455.7376891530
443	return	456.7873768790
444	trial	457.5037417470
445	return	458.2535972550
446	trial	459.0366980210
447	return	459.7534667870
448	trial	460.4203553310
449	return	461.3204544590
450	trial	462.0372039630
451	return	462.7540111150
452	trial	463.8707366510
453	return	464.7875522960
454	trial	465.5043112760
455	return	466.2211138660
456	trial	467.1546411140
457	return	468.1713731150
458	trial	468.8882572850
459	return	469.6051126200
460	trial	470.3328657710
461	return	471.1218833130
462	trial	471.8386649740
463	return	472.7385631650
464	trial	473.4557053600
465	return	474.5223618910
466	trial	475.2477726030
467	return	475.9642797270
468	trial	476.5974049420
469	return	477.6303164180
470	trial	478.3562757880
471	return	479.6796547750
472	trial	480.3959856310
473	return	481.7955966180
474	trial	482.5120266640
475	return	483.3950952280
476	trial	484.0283195830
477	return	485.1278258710
478	trial	485.8441963000
479	return	487.0271882110
480	trial	487.7435482910
481	return	488.6599261180
482	trial	489.3763481200
483	return	490.4093353630
484	trial	491.1258234470
485	return	491.9922438900
486	trial	492.7752239670
487	return	493.8753670840
488	trial	494.5921898510
489	return	495.6256604990
490	trial	496.3423785720
491	return	497.1758347580
492	trial	497.8927446700
493	return	498.7927532170
494	trial	499.5097105800
495	return	500.2264009400
496	trial	501.2097987510
497	return	502.2599268460
498	trial	502.9767597930
499	return	503.8102444510
500	trial	504.5270909240
501	return	505.6437856970
502	trial	506.3606028480
503	return	507.4274139910
504	trial	508.1533778550
505	return	509.4697531290
506	trial	510.1945090020
507	return	511.4522612070
508	trial	512.3687985970
509	return	513.9347648810
510	trial	514.6510996410
511	return	515.6841338540
512	trial	516.4007267450
513	return	517.1504584620
514	trial	517.8667222440
515	return	518.8831036500
516	trial	519.5994623510
517	return	520.5159535680
518	trial	521.2323680140
519	return	522.1653871320
520	trial	522.8818977870
521	return	523.7814750630
522	trial	524.4979359300
523	return	525.4809630540
524	trial	526.1973450650
525	return	527.1137874430
526	trial	527.8307490610
527	return	528.7139736150
528	rest	529.4308500760
529	cue	541.4493205710
530	trial	541.9660782550
531	return	542.9661620800
532	trial	543.6915407860
533	return	545.6074374940
534	trial	546.3333637700
535	return	547.0902934300
536	trial	547.8068317080
537	return	548.6898737150
538	trial	549.4061013970
539	return	551.0556218660
540	trial	551.7720202970
541	return	552.6550719720
542	trial	553.2882024710
543	return	554.1547724210
544	trial	554.7878111810
545	return	555.9374230420
546	trial	556.6537250850
547	return	558.0199806580
548	trial	558.7363880920
549	return	559.8860809270
550	trial	560.6024555050
551	return	561.8190777150
552	trial	562.5358527400
553	return	563.6360157720
554	trial	564.3529609780
555	return	565.8365065640
556	trial	566.5865340000
557	return	567.5200361960
558	trial	568.2368549060
559	return	569.6036624440
560	trial	570.3205482260
561	return	571.6539490540
562	rest	572.5207933400
