Event Number	Event Type	Onset
1	cue	0.0152188990
2	trial	0.5318584830
3	return	3.1232693990
4	trial	4.1324818280
5	return	5.3391636080
6	trial	6.0889328010
7	return	7.9050036540
8	trial	8.6213500230
9	return	10.6706868130
10	trial	11.7035899530
11	return	14.1362740110
12	trial	15.1858945180
13	return	16.6686417090
14	trial	17.4517516140
15	return	19.4180984890
16	trial	20.5182166290
17	return	21.8183692870
18	trial	22.5353057140
19	return	24.3356116420
20	trial	25.3856877800
21	return	26.8359644130
22	trial	27.5526963520
23	return	29.9697821050
24	trial	30.7865066230
25	return	32.1867291600
26	trial	33.0535456180
27	return	34.9371325050
28	trial	35.9955343860
29	return	37.9781684520
30	trial	39.0611461580
31	return	40.5106393760
32	trial	41.2270635260
33	return	42.6265573870
34	rest	43.4928891770
35	cue	55.5236209490
36	trial	56.0403565570
37	return	58.3240775590
38	trial	59.3908582490
39	return	60.6577306770
40	trial	61.5245128340
41	return	64.1582676080
42	trial	65.4417624820
43	return	67.1754534620
44	trial	68.2922300840
45	return	70.5337866600
46	trial	71.3669790600
47	return	73.4828760050
48	trial	74.7824963770
49	return	76.6312670880
50	trial	77.8808550270
51	return	81.0131374170
52	trial	82.3959260200
53	return	84.1953377320
54	trial	85.1116470960
55	return	87.7279972660
56	trial	88.9614899180
57	return	90.5457323730
58	trial	91.6290803010
59	return	93.8961304140
60	trial	95.1630655830
61	return	97.5467368460
62	trial	98.6468873390
63	return	100.5805557860
64	trial	101.3639960880
65	return	103.7893092130
66	trial	104.9383767230
67	return	106.9710223470
68	trial	108.2206232810
69	return	109.9366407880
70	trial	110.6532095520
71	return	113.1522393910
72	trial	114.3685405050
73	return	116.4511640340
74	trial	117.4675330110
75	return	120.0833583880
76	trial	121.4331638470
77	return	123.0672579640
78	trial	123.8840379780
79	return	125.7344288460
80	trial	126.6511950180
81	return	129.4849319440
82	trial	130.9852116150
83	return	133.2021540730
84	trial	134.3856572850
85	return	136.2693456340
86	trial	137.1861192830
87	return	139.9105098630
88	trial	141.5431849400
89	return	143.8257421690
90	trial	144.9087819710
91	return	146.6916286390
92	trial	147.7577621400
93	return	149.4738721880
